Entry,Method,PDB_ID,Residues_Covered,Chain
O14757,X-ray diffraction,2WMR,1-289,A
O14757,X-ray diffraction,2WMS,1-289,A
O14757,X-ray diffraction,2WMT,1-289,A
O14757,X-ray diffraction,2WMU,1-289,A
O14757,X-ray diffraction,2WMV,1-289,A
O14757,X-ray diffraction,2WMW,1-289,A
O14757,X-ray diffraction,2WMX,1-289,A
O14757,X-ray diffraction,2X8D,1-289,A
O14757,X-ray diffraction,2X8E,1-276,A
O14757,X-ray diffraction,2X8I,1-289,A
O14757,X-ray diffraction,2XEY,1-289,A
O14757,X-ray diffraction,2XEZ,1-289,A
O14757,X-ray diffraction,2XF0,1-289,A
O14757,X-ray diffraction,2YDI,1-289,A
O14757,X-ray diffraction,2YDJ,1-276,"A, B"
O14757,X-ray diffraction,2YDK,1-276,A
O14757,X-ray diffraction,2YER,1-276,A
O14757,X-ray diffraction,2YEX,1-276,A
O14757,X-ray diffraction,2YM3,1-289,A
O14757,X-ray diffraction,2YM4,1-289,A
O14757,X-ray diffraction,2YM5,1-289,A
O14757,X-ray diffraction,2YM6,1-289,A
O14757,X-ray diffraction,2YM7,1-289,A
O14757,X-ray diffraction,2YM8,1-289,A
O14757,X-ray diffraction,2YWP,2-270,A
O14757,X-ray diffraction,3F9N,2-307,A
O14757,X-ray diffraction,3JVR,2-272,A
O14757,X-ray diffraction,3JVS,2-272,A
O14757,X-ray diffraction,3NLB,1-289,A
O14757,X-ray diffraction,3OT3,2-274,A
O14757,X-ray diffraction,3OT8,2-274,A
O14757,X-ray diffraction,3PA3,2-274,A
O14757,X-ray diffraction,3PA4,2-274,A
O14757,X-ray diffraction,3PA5,2-274,A
O14757,X-ray diffraction,3TKH,1-307,A
O14757,X-ray diffraction,3TKI,1-307,A
O14757,X-ray diffraction,3U9N,2-274,A
O14757,X-ray diffraction,4FSM,2-280,A
O14757,X-ray diffraction,4FSN,3-280,A
O14757,X-ray diffraction,4FSQ,2-280,A
O14757,X-ray diffraction,4FSR,2-280,A
O14757,X-ray diffraction,4FST,2-270,A
O14757,X-ray diffraction,4FSU,2-280,A
O14757,X-ray diffraction,4FSW,2-280,A
O14757,X-ray diffraction,4FSY,2-280,A
O14757,X-ray diffraction,4FSZ,2-280,A
O14757,X-ray diffraction,4FT0,2-280,A
O14757,X-ray diffraction,4FT3,2-280,A
O14757,X-ray diffraction,4FT5,2-280,A
O14757,X-ray diffraction,4FT7,2-280,A
O14757,X-ray diffraction,4FT9,2-280,A
O14757,X-ray diffraction,4FTA,2-280,A
O14757,X-ray diffraction,4FTC,2-280,A
O14757,X-ray diffraction,4FTI,2-280,A
O14757,X-ray diffraction,4FTJ,2-280,A
O14757,X-ray diffraction,4FTK,2-280,A
O14757,X-ray diffraction,4FTL,2-280,A
O14757,X-ray diffraction,4FTM,2-280,A
O14757,X-ray diffraction,4FTN,2-280,A
O14757,X-ray diffraction,4FTO,2-280,A
O14757,X-ray diffraction,4FTQ,2-280,A
O14757,X-ray diffraction,4FTR,2-280,A
O14757,X-ray diffraction,4FTT,2-280,A
O14757,X-ray diffraction,4FTU,2-280,A
O14757,X-ray diffraction,4GH2,2-280,A
O14757,X-ray diffraction,4HYH,1-289,A
O14757,X-ray diffraction,4HYI,1-289,A
O14757,X-ray diffraction,4JIK,2-274,A
O14757,X-ray diffraction,4QYE,1-289,A
O14757,X-ray diffraction,4QYF,1-289,A
O14757,X-ray diffraction,4QYG,1-289,"A, B"
O14757,X-ray diffraction,4QYH,1-289,"A, B"
O14757,X-ray diffraction,4RVK,1-289,A
O14757,X-ray diffraction,4RVL,1-289,A
O14757,X-ray diffraction,4RVM,1-289,A
O14757,X-ray diffraction,5DLS,1-289,A
O14757,X-ray diffraction,5F4N,1-273,A
O14757,X-ray diffraction,5OOP,1-289,A
O14757,X-ray diffraction,5OOR,1-289,A
O14757,X-ray diffraction,5OOT,1-289,A
O14757,X-ray diffraction,5OP2,1-289,A
O14757,X-ray diffraction,5OP4,1-289,A
O14757,X-ray diffraction,5OP5,1-289,A
O14757,X-ray diffraction,5OP7,1-289,A
O14757,X-ray diffraction,5OPB,1-289,A
O14757,X-ray diffraction,5OPR,1-289,A
O14757,X-ray diffraction,5OPS,1-289,A
O14757,X-ray diffraction,5OPU,1-289,A
O14757,X-ray diffraction,5OPV,1-289,A
O14757,X-ray diffraction,5OQ5,1-289,A
O14757,X-ray diffraction,5OQ6,1-289,A
O14757,X-ray diffraction,5OQ7,1-289,"A, B"
O14757,X-ray diffraction,5OQ8,1-289,A
O14757,X-ray diffraction,5WI2,377-476,"A, B"
O14757,X-ray diffraction,6FC8,1-276,A
O14757,X-ray diffraction,6FCF,1-276,A
O14757,X-ray diffraction,6FCK,1-276,A
P20138,X-ray diffraction,5IHB,21-232,"A, B, C, D"
P20138,X-ray diffraction,5J06,21-232,"A, B, C, D"
P20138,X-ray diffraction,5J0B,21-232,"A, B, C, D"
P20138,X-ray diffraction,6D48,18-143,"E, F, G, H"
P20138,X-ray diffraction,6D49,18-143,"A, B"
P20138,X-ray diffraction,6D4A,18-143,"A, B"
O75956,Solution NMR,2M1L,61-126,"A, B"
P07315,Solution NMR,2NBR,2-174,A
Q9UNS2,X-ray diffraction,4D10,1-423,"C, K"
Q9UNS2,X-ray diffraction,4D18,1-423,"C, K"
Q9UNS2,X-ray diffraction,4WSN,1-423,"C, K, S, a, i, q"
Q9UNS2,Electron Microscopy,6R6H,1-383,C
Q9UNS2,Electron Microscopy,6R7F,1-403,C
Q9UNS2,Electron Microscopy,6R7H,1-403,C
Q9UNS2,Electron Microscopy,6R7I,3-403,C
Q9UNS2,Electron Microscopy,6R7N,3-403,C
Q9Y215,X-ray diffraction,1VZJ,53-67,"I, J"
P02489,Electron Microscopy,6T1R,1-173,"A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P"
Q16696,X-ray diffraction,2P85,23-494,"A, B, C, D, E, F"
Q16696,X-ray diffraction,2PG5,29-494,"A, B, C, D"
Q16696,X-ray diffraction,2PG6,29-494,"A, B, C, D"
Q16696,X-ray diffraction,2PG7,29-494,"A, B, C, D"
Q16696,X-ray diffraction,3T3S,31-494,"A, B, C, D, E, F, G, H"
Q16696,X-ray diffraction,4EJG,31-494,"A, B, C, D, E, F, G, H"
Q16696,X-ray diffraction,4EJH,31-494,"A, B, C, D, E, F, G, H"
Q16696,X-ray diffraction,4EJI,31-494,A
P98082,Solution NMR,2LSW,24-58,A
O75140,Electron Microscopy,6CES,1-1603,D
O75140,Electron Microscopy,6CET,1-1603,D
P51648,X-ray diffraction,4QGK,1-460,"A, B"
Q9NRW3,X-ray diffraction,3VM8,1-190,"A, B"
Q9NRW3,X-ray diffraction,3VOW,1-190,"A, B"
P30542,X-ray diffraction,5N2S,4-316,A
P30542,X-ray diffraction,5UEN,2-211;228-311,"A, B"
P30542,Electron Microscopy,6D9H,2-326,R
P40394,X-ray diffraction,1AGN,14-386,"A, B, C, D"
P40394,X-ray diffraction,1D1S,14-386,"A, B, C, D"
P40394,X-ray diffraction,1D1T,14-386,"A, B, C, D"
P02768,X-ray diffraction,1AO6,25-609,"A, B"
P02768,X-ray diffraction,1BJ5,25-609,A
P02768,X-ray diffraction,1BKE,28-608,A
P02768,X-ray diffraction,1BM0,25-609,"A, B"
P02768,X-ray diffraction,1E78,25-609,"A, B"
P02768,X-ray diffraction,1E7A,25-609,"A, B"
P02768,X-ray diffraction,1E7B,25-609,"A, B"
P02768,X-ray diffraction,1E7C,25-609,A
P02768,X-ray diffraction,1E7E,25-609,A
P02768,X-ray diffraction,1E7F,25-609,A
P02768,X-ray diffraction,1E7G,25-609,A
P02768,X-ray diffraction,1E7H,25-609,A
P02768,X-ray diffraction,1E7I,25-609,A
P02768,X-ray diffraction,1GNI,25-609,A
P02768,X-ray diffraction,1GNJ,25-609,A
P02768,X-ray diffraction,1H9Z,25-609,A
P02768,X-ray diffraction,1HA2,25-609,A
P02768,X-ray diffraction,1HK1,25-609,A
P02768,X-ray diffraction,1HK2,25-609,A
P02768,X-ray diffraction,1HK3,25-609,A
P02768,X-ray diffraction,1HK4,25-609,A
P02768,X-ray diffraction,1HK5,25-609,A
P02768,X-ray diffraction,1N5U,25-609,A
P02768,X-ray diffraction,1O9X,25-609,A
P02768,X-ray diffraction,1TF0,25-596,A
P02768,X-ray diffraction,1UOR,25-609,A
P02768,Solution NMR,1YSX,409-609,A
P02768,X-ray diffraction,2BX8,25-609,"A, B"
P02768,X-ray diffraction,2BXA,25-609,"A, B"
P02768,X-ray diffraction,2BXB,25-609,"A, B"
P02768,X-ray diffraction,2BXC,25-609,"A, B"
P02768,X-ray diffraction,2BXD,25-609,"A, B"
P02768,X-ray diffraction,2BXE,25-609,"A, B"
P02768,X-ray diffraction,2BXF,25-609,"A, B"
P02768,X-ray diffraction,2BXG,25-609,"A, B"
P02768,X-ray diffraction,2BXH,25-609,"A, B"
P02768,X-ray diffraction,2BXI,25-609,A
P02768,X-ray diffraction,2BXK,25-609,A
P02768,X-ray diffraction,2BXL,25-609,A
P02768,X-ray diffraction,2BXM,25-609,A
P02768,X-ray diffraction,2BXN,25-609,A
P02768,X-ray diffraction,2BXO,25-609,A
P02768,X-ray diffraction,2BXP,25-609,A
P02768,X-ray diffraction,2BXQ,25-609,A
P02768,X-ray solution scattering,2ESG,25-609,C
P02768,X-ray diffraction,2I2Z,25-609,A
P02768,X-ray diffraction,2I30,25-609,A
P02768,Solution NMR,2N0X,432-447,A
P02768,X-ray diffraction,2VDB,30-608,A
P02768,X-ray diffraction,2VUE,25-609,"A, B"
P02768,X-ray diffraction,2VUF,25-609,"A, B"
P02768,X-ray diffraction,2XSI,25-609,A
P02768,X-ray diffraction,2XVQ,25-609,"A, B"
P02768,X-ray diffraction,2XVU,25-609,"A, B"
P02768,X-ray diffraction,2XVV,25-609,A
P02768,X-ray diffraction,2XVW,25-609,A
P02768,X-ray diffraction,2XW0,25-609,"A, B"
P02768,X-ray diffraction,2XW1,25-609,"A, B"
P02768,X-ray diffraction,2YDF,25-609,"A, B"
P02768,X-ray diffraction,3A73,25-609,"A, B"
P02768,X-ray diffraction,3B9L,25-609,A
P02768,X-ray diffraction,3B9M,25-609,A
P02768,X-ray diffraction,3CX9,27-608,A
P02768,X-ray diffraction,3JQZ,25-609,"A, B"
P02768,X-ray diffraction,3JRY,25-609,"A, B"
P02768,X-ray diffraction,3LU6,25-609,"A, B"
P02768,X-ray diffraction,3LU7,25-609,"A, B"
P02768,X-ray diffraction,3LU8,25-609,"A, B"
P02768,X-ray diffraction,3SQJ,27-608,"A, B"
P02768,X-ray diffraction,3TDL,25-609,A
P02768,X-ray diffraction,3UIV,25-609,"A, H"
P02768,X-ray diffraction,4BKE,1-609,A
P02768,X-ray diffraction,4E99,25-609,A
P02768,X-ray diffraction,4EMX,25-609,"A, B"
P02768,X-ray diffraction,4G03,25-609,"A, B"
P02768,X-ray diffraction,4G04,25-609,"A, B"
P02768,X-ray diffraction,4HGK,25-609,"A, B"
P02768,X-ray diffraction,4HGM,25-609,B
P02768,X-ray diffraction,4IW1,25-609,A
P02768,X-ray diffraction,4IW2,25-609,A
P02768,X-ray diffraction,4K2C,25-609,"A, B"
P02768,X-ray diffraction,4K71,25-609,"A, D"
P02768,X-ray diffraction,4L8U,25-609,A
P02768,X-ray diffraction,4L9K,25-609,"A, B"
P02768,X-ray diffraction,4L9Q,25-609,"A, B"
P02768,X-ray diffraction,4LA0,25-609,"A, B"
P02768,X-ray diffraction,4LB2,25-609,"A, B"
P02768,X-ray diffraction,4LB9,25-609,A
P02768,X-ray diffraction,4N0F,25-609,"D, G, J, M"
P02768,X-ray diffraction,4N0U,27-609,D
P02768,X-ray diffraction,4S1Y,25-609,A
P02768,X-ray diffraction,4Z69,25-609,"A, I"
P02768,X-ray diffraction,5FUO,25-609,A
P02768,X-ray diffraction,5GIX,27-607,"A, B"
P02768,X-ray diffraction,5GIY,27-607,A
P02768,X-ray diffraction,5ID7,25-609,"A, B"
P02768,X-ray diffraction,5IFO,25-609,A
P02768,X-ray diffraction,5IJF,25-609,A
P02768,X-ray diffraction,5UJB,1-609,"A, B"
P02768,X-ray diffraction,5VNW,25-609,"A, B"
P02768,X-ray diffraction,5X52,25-609,"A, B"
P02768,X-ray diffraction,5YB1,27-607,"A, B"
P02768,X-ray diffraction,5YOQ,25-609,"A, B"
P02768,X-ray diffraction,5Z0B,25-609,"A, B, C"
P02768,X-ray diffraction,6A7P,25-609,"A, B"
P02768,X-ray diffraction,6EZQ,25-609,A
P02768,X-ray diffraction,6HSC,1-609,"A, B"
P02768,X-ray diffraction,6JE7,26-608,A
Q03154,X-ray diffraction,1Q7L,1-198;321-408,"B, D"
Q9Y243,X-ray diffraction,2X18,1-118,"A, B, C, D, E, F, G, H"
Q9NZK5,X-ray diffraction,3LGD,29-511,"A, B"
Q9NZK5,X-ray diffraction,3LGG,29-511,"A, B"
P08913,Solution NMR,1HLL,133-164,A
P08913,Solution NMR,1HO9,133-164,A
P08913,Solution NMR,1HOD,133-164,A
P08913,Solution NMR,1HOF,133-164,A
P09972,X-ray diffraction,1XFB,1-364,"A, B, C, D, E, F, G, H, I, J, K, L"
Q04828,X-ray diffraction,1MRQ,2-323,A
Q04828,X-ray diffraction,3C3U,1-323,A
Q04828,X-ray diffraction,3GUG,1-323,A
Q04828,X-ray diffraction,3NTY,1-323,A
Q04828,X-ray diffraction,4YVP,1-323,"A, B"
Q04828,X-ray diffraction,6A7A,1-323,A
Q04828,X-ray diffraction,6IJX,1-323,A
Q9Y6B7,Solution NMR,2MJ7,610-739,A
Q7Z6G8,Solution NMR,2EAM,808-874,A
Q7Z6G8,Solution NMR,2KE7,808-893,A
Q7Z6G8,Solution NMR,2KIV,812-946,A
Q7Z6G8,Solution NMR,2M38,1042-1194,A
Q9Y5C1,X-ray diffraction,6EUA,242-460,"A, B, C"
Q13315,Electron Microscopy,5NP0,1-3056,"A, B"
Q13315,Electron Microscopy,5NP1,1-3056,A
Q13315,Solution NMR,6HKA,3024-3056,A
Q13315,Electron Microscopy,6K9K,1-3056,A
Q13315,Electron Microscopy,6K9L,1-3056,"A, B"
Q13705,X-ray diffraction,2H62,19-116,D
Q13705,X-ray diffraction,2QLU,190-487,A
Q13705,X-ray diffraction,4FAO,19-134,"E, F, K, L, Q, R, W, X, e, f, k, l"
Q13705,X-ray diffraction,5NGV,24-117,A
Q13705,X-ray diffraction,5NHR,24-117,"C, D"
Q8WUQ7,Electron Microscopy,6QDV,637-758,F
Q14444,X-ray diffraction,4WBE,132-251,"A, B, C"
Q14444,X-ray diffraction,4WBP,132-251,"A, B"
Q92793,Solution NMR,1JSP,1081-1197,B
Q92793,Solution NMR,1LIQ,376-402,A
Q92793,X-ray diffraction,1RDT,58-80,E
Q92793,Solution NMR,1WO3,376-400,A
Q92793,Solution NMR,1WO4,376-400,A
Q92793,Solution NMR,1WO5,376-400,A
Q92793,Solution NMR,1WO6,376-400,A
Q92793,Solution NMR,1WO7,376-400,A
Q92793,X-ray diffraction,1ZOQ,2065-2111,"C, D"
Q92793,Solution NMR,2D82,1081-1197,A
Q92793,Solution NMR,2KJE,1763-1854,A
Q92793,Solution NMR,2KWF,587-673,A
Q92793,Solution NMR,2L84,1081-1197,A
Q92793,Solution NMR,2L85,1081-1197,A
Q92793,Solution NMR,2LXS,587-673,A
Q92793,Solution NMR,2LXT,587-673,A
Q92793,Solution NMR,2N1A,1699-1751,B
Q92793,Solution NMR,2RNY,1081-1197,A
Q92793,X-ray diffraction,3DWY,1081-1197,"A, B"
Q92793,X-ray diffraction,3P1C,1081-1197,"A, B"
Q92793,X-ray diffraction,3P1D,1081-1197,"A, B"
Q92793,X-ray diffraction,3P1E,1081-1197,"A, B"
Q92793,X-ray diffraction,3P1F,1081-1197,"A, B"
Q92793,X-ray diffraction,3SVH,1081-1197,"A, B"
Q92793,X-ray diffraction,4A9K,1081-1197,"A, B"
Q92793,X-ray diffraction,4N3W,1080-1316,A
Q92793,X-ray diffraction,4N4F,1080-1316,A
Q92793,X-ray diffraction,4NR4,1081-1197,"A, B"
Q92793,X-ray diffraction,4NR5,1081-1197,A
Q92793,X-ray diffraction,4NR6,1081-1197,A
Q92793,X-ray diffraction,4NR7,1081-1197,A
Q92793,X-ray diffraction,4NYV,1081-1197,"A, B, C, D"
Q92793,X-ray diffraction,4NYW,1081-1197,A
Q92793,X-ray diffraction,4NYX,1081-1197,A
Q92793,X-ray diffraction,4OUF,1082-1197,"A, B"
Q92793,X-ray diffraction,4TQN,1081-1197,A
Q92793,X-ray diffraction,4TS8,1081-1197,A
Q92793,X-ray diffraction,4WHU,1081-1197,A
Q92793,X-ray diffraction,4YK0,1083-1196,"A, B, C, D"
Q92793,X-ray diffraction,5CGP,1081-1197,A
Q92793,X-ray diffraction,5DBM,1082-1197,"A, B, C"
Q92793,X-ray diffraction,5EIC,1081-1197,"A, B"
Q92793,X-ray diffraction,5ENG,1081-1197,A
Q92793,X-ray diffraction,5EP7,1081-1197,A
Q92793,X-ray diffraction,5GH9,1081-1196,A
Q92793,X-ray diffraction,5H85,1081-1197,A
Q92793,X-ray diffraction,5I83,1082-1197,A
Q92793,X-ray diffraction,5I86,1082-1197,"A, B"
Q92793,X-ray diffraction,5I89,1082-1197,A
Q92793,X-ray diffraction,5I8B,1081-1312,A
Q92793,X-ray diffraction,5I8G,1081-1312,A
Q92793,X-ray diffraction,5J0D,1081-1197,A
Q92793,X-ray diffraction,5JEM,2065-2111,"C, D, F, H"
Q92793,X-ray diffraction,5KTU,1082-1197,"A, B"
Q92793,X-ray diffraction,5KTW,1085-1196,"A, B, C"
Q92793,X-ray diffraction,5KTX,1085-1196,A
Q92793,X-ray diffraction,5LPJ,1081-1197,A
Q92793,X-ray diffraction,5LPL,1081-1197,A
Q92793,X-ray diffraction,5MME,1081-1197,"A, B"
Q92793,X-ray diffraction,5MMG,1081-1197,A
Q92793,X-ray diffraction,5MPK,1081-1197,"A, B"
Q92793,X-ray diffraction,5MPN,1081-1197,A
Q92793,X-ray diffraction,5MPZ,1081-1197,A
Q92793,X-ray diffraction,5MQE,1081-1197,"A, B"
Q92793,X-ray diffraction,5MQG,1081-1197,"A, B"
Q92793,X-ray diffraction,5MQK,1081-1197,"A, B"
Q92793,X-ray diffraction,5NLK,1081-1197,A
Q92793,X-ray diffraction,5NRW,1081-1197,A
Q92793,X-ray diffraction,5NU3,1081-1197,A
Q92793,X-ray diffraction,5OWK,1081-1197,A
Q92793,X-ray diffraction,5SVH,587-673,A
Q92793,X-ray diffraction,5TB6,1081-1197,A
Q92793,X-ray diffraction,5W0E,1082-1197,A
Q92793,X-ray diffraction,5W0F,1082-1197,A
Q92793,X-ray diffraction,5W0L,1082-1197,"A, B"
Q92793,X-ray diffraction,5W0Q,1082-1197,A
Q92793,X-ray diffraction,5XXH,1081-1197,A
Q92793,X-ray diffraction,6ALB,1081-1312,A
Q92793,X-ray diffraction,6ALC,1085-1196,"A, B"
Q92793,X-ray diffraction,6AXQ,1085-1196,"A, B, C, D"
Q92793,X-ray diffraction,6AY3,1083-1197,"A, B"
Q92793,X-ray diffraction,6AY5,1083-1197,A
Q92793,X-ray diffraction,6DMK,1083-1195,A
Q92793,Solution NMR,6ES5,2061-2105,B
Q92793,Solution NMR,6ES6,2061-2108,B
Q92793,Solution NMR,6ES7,2061-2109,B
Q92793,X-ray diffraction,6FQO,1081-1197,"A, B"
Q92793,X-ray diffraction,6FQT,1081-1197,A
Q92793,X-ray diffraction,6FQU,1081-1197,A
Q92793,X-ray diffraction,6FR0,1081-1197,"A, B"
Q92793,X-ray diffraction,6FRF,1081-1197,"A, B, C, D"
P08185,X-ray diffraction,2VDX,33-405,"A, B"
P08185,X-ray diffraction,2VDY,33-405,"A, B"
P08185,X-ray diffraction,4BB2,33-371;372-405,B
P08185,X-ray diffraction,4C41,33-405,A
P08185,X-ray diffraction,4C49,33-405,"A, B, C, D"
P12830,X-ray diffraction,1O6S,155-255,B
P12830,X-ray diffraction,2O72,155-367,A
P12830,X-ray diffraction,2OMT,156-255,B
P12830,X-ray diffraction,2OMU,156-255,B
P12830,X-ray diffraction,2OMV,156-255,B
P12830,X-ray diffraction,2OMX,156-258,B
P12830,X-ray diffraction,2OMY,156-254,B
P12830,X-ray diffraction,2OMZ,156-254,B
P12830,X-ray diffraction,3FF7,155-253,"A, B"
P12830,X-ray diffraction,3FF8,155-254,"A, B"
P12830,X-ray diffraction,3L6X,756-773,B
P12830,X-ray diffraction,3L6Y,756-773,"B, D, F"
P12830,X-ray diffraction,4ZT1,157-367,"A, B"
P12830,X-ray diffraction,4ZTE,157-367,"A, B"
P12830,X-ray diffraction,6CXY,155-371,C
P12830,Electron Microscopy,6OLE,693-697;698-730,y
P12830,Electron Microscopy,6OLF,693-697;698-730,y
P12830,Electron Microscopy,6OLG,693-697;698-730,A
Q02224,X-ray diffraction,1T5C,2-342,"A, B"
Q02224,X-ray diffraction,5JVP,336-376,"A, B, C, D, E, F"
P46109,X-ray diffraction,2BZX,237-303,A
P46109,X-ray diffraction,2BZY,237-303,"A, B"
P46109,Solution NMR,2DBK,228-303,A
P46109,Solution NMR,2EO3,1-104,A
P46109,Solution NMR,2LQN,1-303,A
P46109,Solution NMR,2LQW,1-303,A
Q16630,X-ray diffraction,3P5T,80-161,"L, M, N, O, P, Q"
Q16630,X-ray diffraction,3P6Y,80-161,"C, D, G, H, K, L, O, P"
Q16630,X-ray diffraction,3Q2S,13-235,"C, D"
Q16630,X-ray diffraction,3Q2T,13-235,"E, F"
Q16630,X-ray diffraction,4B4N,276-290,B
Q16630,X-ray diffraction,4U0A,276-290,B
Q16630,X-ray diffraction,4U0B,276-290,"M, N, O, P, Q, R, S, T, U, V, W, X"
Q16630,X-ray diffraction,4WYM,276-290,"M, N, O, P, Q, R, S, T, U, V, W"
Q16630,X-ray diffraction,6AY9,276-287,B
Q16630,X-ray diffraction,6GX9,481-550,"C, D"
P26998,X-ray diffraction,3QK3,21-199,"A, B, C"
P24468,X-ray diffraction,3CJW,175-414,A
Q9BWP8,X-ray diffraction,4YLI,116-270,"A, B, C, D, E, F"
Q9BWP8,X-ray diffraction,4YMD,116-270,"A, B, C, D, E, F"
Q96JK2,X-ray diffraction,3I89,13-25,B
P78314,Solution NMR,2CR4,446-558,A
P78314,X-ray diffraction,3TWR,410-425,"E, F, G, H"
P00505,X-ray diffraction,5AX8,30-430,"A, B, C, D"
Q9NY61,X-ray diffraction,5W6A,539-547,"E, F"
Q9BXJ7,X-ray diffraction,6GJE,20-357,A
Q96P47,X-ray diffraction,3IHW,90-255,A
Q99490,X-ray diffraction,2BMJ,402-577,A
Q99490,X-ray diffraction,2IWR,402-577,A
Q99490,Solution NMR,2RLO,674-914,A
Q9Y6U3,X-ray diffraction,3FG6,345-715,"A, B, C, D, E, F, G, H"
Q9Y6U3,X-ray diffraction,5A1K,6-349,"A, B"
Q9Y6U3,X-ray diffraction,5A1M,247-350,A
P04424,X-ray diffraction,1AOS,1-464,"A, B"
P04424,X-ray diffraction,1K62,1-464,"A, B"
Q92888,X-ray diffraction,1IAP,42-252,A
Q92888,X-ray diffraction,1SHZ,7-239,"C, F"
Q92888,X-ray diffraction,3AB3,1-233,"B, D"
Q92888,X-ray diffraction,3ODO,395-766,"A, B"
Q92888,X-ray diffraction,3ODW,240-766,"A, B"
Q92888,X-ray diffraction,3ODX,353-766,"A, B"
Q92888,X-ray diffraction,3P6A,395-766,"A, B"
Q16853,X-ray diffraction,1PU4,1-763,"A, B"
Q16853,X-ray diffraction,1US1,1-763,"A, B"
Q16853,X-ray diffraction,2C10,29-763,"A, B, C, D"
Q16853,X-ray diffraction,2C11,29-763,"A, B, C, D"
Q16853,X-ray diffraction,2Y73,1-763,"A, B"
Q16853,X-ray diffraction,2Y74,1-763,"A, B"
Q16853,X-ray diffraction,3ALA,33-763,"A, B, C, D, E, F, G"
Q16853,X-ray diffraction,4BTW,27-763,"A, B"
Q16853,X-ray diffraction,4BTX,27-763,"A, B"
Q16853,X-ray diffraction,4BTY,27-763,"A, B"
O14744,X-ray diffraction,4GQB,1-637,A
O14744,X-ray diffraction,4X60,2-637,A
O14744,X-ray diffraction,4X61,2-637,A
O14744,X-ray diffraction,4X63,2-637,A
O14744,X-ray diffraction,5C9Z,2-637,A
O14744,X-ray diffraction,5EMJ,2-637,A
O14744,X-ray diffraction,5EMK,2-637,A
O14744,X-ray diffraction,5EML,2-637,A
O14744,X-ray diffraction,5EMM,2-637,A
O14744,X-ray diffraction,5FA5,1-637,A
O14744,X-ray diffraction,6CKC,1-637,A
O14744,X-ray diffraction,6K1S,2-637,A
Q9NR71,X-ray diffraction,4WGK,99-780,"A, B"
Q9Y376,X-ray diffraction,1UPK,1-341,A
Q9Y376,X-ray diffraction,1UPL,1-341,"A, B"
Q9Y376,X-ray diffraction,2WTK,1-341,"A, D"
Q9Y376,X-ray diffraction,3GNI,1-341,A
Q9Y376,X-ray diffraction,4FZA,11-334,A
Q9Y376,X-ray diffraction,4FZD,11-334,A
Q9Y376,X-ray diffraction,4FZF,11-334,A
Q9Y376,X-ray diffraction,4NZW,8-334,A
Q9Y376,X-ray diffraction,4O27,11-333,A
Q8N2Z9,X-ray diffraction,4DRA,1-107,"A, B, C, D"
Q8N2Z9,X-ray diffraction,4DRB,1-114,"A, B, D, E, G, H"
Q8N2Z9,X-ray diffraction,4E44,1-110,"A, C"
Q8N2Z9,X-ray diffraction,4E45,1-110,"A, C, F, H, K, M"
Q8N2Z9,X-ray diffraction,4NDY,14-105,"A, C, G, I, J, K, Q, R, S, T"
Q8N2Z9,X-ray diffraction,4NE1,14-118,"A, C, G, I, J, K, Q, R, S, T, Y, a, c, e, f, g, k, l, m, n"
Q8N2Z9,X-ray diffraction,4NE3,14-105,A
Q8N2Z9,X-ray diffraction,4NE5,14-105,"A, C, E, G"
Q8N2Z9,X-ray diffraction,4NE6,14-105,"A, C"
P23946,X-ray diffraction,1KLT,22-247,A
P23946,X-ray diffraction,1NN6,20-247,A
P23946,X-ray diffraction,1PJP,22-247,A
P23946,X-ray diffraction,1T31,22-247,A
P23946,X-ray diffraction,2HVX,22-247,A
P23946,X-ray diffraction,3N7O,22-247,A
P23946,X-ray diffraction,3S0N,22-247,A
P23946,X-ray diffraction,4AFQ,22-247,"A, B"
P23946,X-ray diffraction,4AFS,22-247,A
P23946,X-ray diffraction,4AFU,22-247,"A, B"
P23946,X-ray diffraction,4AFZ,22-247,"A, B"
P23946,X-ray diffraction,4AG1,22-247,A
P23946,X-ray diffraction,4AG2,22-247,"A, B"
P23946,X-ray diffraction,4K2Y,22-247,A
P23946,X-ray diffraction,4K5Z,22-247,A
P23946,X-ray diffraction,4K60,22-247,A
P23946,X-ray diffraction,4K69,22-247,A
P23946,X-ray diffraction,4KP0,22-247,A
P23946,X-ray diffraction,5YJM,22-247,A
P23946,X-ray diffraction,5YJP,22-247,A
Q9P126,X-ray diffraction,2C6U,100-221,A
Q9P126,X-ray diffraction,3WSR,96-221,"A, B"
Q9P126,X-ray diffraction,3WWK,96-221,"C, F, I, L"
P17927,Solution NMR,1GKG,1002-1133,A
P17927,Solution NMR,1GKN,941-1065,A
P17927,Solution NMR,1PPQ,1002-1065,A
P17927,Solution NMR,2MCY,102-233,A
P17927,Solution NMR,2MCZ,41-163,A
P17927,X-ray solution scattering,2Q7Z,42-1972,A
P17927,X-ray diffraction,5FO9,941-1136,"C, F"
P10589,Solution NMR,2EBL,84-159,A
Q99062,X-ray diffraction,2D9Q,25-332,B
Q9P218,Solution NMR,2DKM,466-556,A
Q9P218,Solution NMR,2EE3,557-651,A
Q9P218,Solution NMR,2EKJ,741-832,A
Q9P218,X-ray diffraction,5KF4,368-466,"A, B, C, D"
