From	Entry	Gene Ontology (molecular function)
P32558	P32558	
P32559	P32559	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
P32561	P32561	histone deacetylase activity [GO:0004407]; histone H3K14 deacetylase activity, hydrolytic mechanism [GO:0031078]; histone H3K4 deacetylase activity, hydrolytic mechanism [GO:1990162]; histone H3K9 deacetylase activity, hydrolytic mechanism [GO:0032129]; histone H4K12 deacetylase activity, hydrolytic mechanism [GO:0140937]; histone H4K16 deacetylase activity, hydrolytic mechanism [GO:0034739]; histone H4K5 deacetylase activity, hydrolytic mechanism [GO:0180032]; histone H4K8 deacetylase activity, hydrolytic mechanism [GO:0180033]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]
P32562	P32562	ATP binding [GO:0005524]; centromeric DNA binding [GO:0019237]; phosphoprotein binding [GO:0051219]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P32563	P32563	ATPase binding [GO:0051117]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
P32564	P32564	
P32565	P32565	enzyme regulator activity [GO:0030234]; ubiquitin protein ligase binding [GO:0031625]
P32566	P32566	DNA binding [GO:0003677]
P32567	P32567	phosphatidate phosphatase activity [GO:0008195]; transcription cis-regulatory region binding [GO:0000976]
P32568	P32568	ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
P32569	P32569	DNA-binding transcription factor binding [GO:0140297]; RNA polymerase II complex recruiting activity [GO:0001139]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; transcription coregulator activity [GO:0003712]
P32570	P32570	transcription coregulator activity [GO:0003712]
P32571	P32571	cysteine-type deubiquitinase activity [GO:0004843]
P32572	P32572	GTPase activator activity [GO:0005096]; zinc ion binding [GO:0008270]
P32573	P32573	2,4-dienoyl-CoA reductase (NADPH) activity [GO:0008670]
P32578	P32578	enzyme-substrate adaptor activity [GO:0140767]; protein kinase binding [GO:0019901]
P32579	P32579	ATP binding [GO:0005524]; double-stranded RNA binding [GO:0003725]; L-threonylcarbamoyladenylate synthase [GO:0061710]; nucleotidyltransferase activity [GO:0016779]; single-stranded telomeric DNA binding [GO:0043047]; tRNA binding [GO:0000049]
P32580	P32580	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
P32581	P32581	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]
P32582	P32582	cystathionine beta-synthase activity [GO:0004122]; mRNA binding [GO:0003729]
P32583	P32583	
P32584	P32584	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity [GO:0004671]
P32585	P32585	RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]
P32588	P32588	mRNA binding [GO:0003729]; poly(U) RNA binding [GO:0008266]; ribosome binding [GO:0043022]
P32589	P32589	adenyl-nucleotide exchange factor activity [GO:0000774]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; calmodulin binding [GO:0005516]; peptide binding [GO:0042277]
P32590	P32590	adenyl-nucleotide exchange factor activity [GO:0000774]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; calmodulin binding [GO:0005516]
P32591	P32591	DNA binding [GO:0003677]; histone binding [GO:0042393]
P32597	P32597	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent chromatin remodeler activity [GO:0140658]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA translocase activity [GO:0015616]; double-stranded DNA helicase activity [GO:0036121]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction helicase activity [GO:0009378]; helicase activity [GO:0004386]; histone H4 reader activity [GO:0140008]; lysine-acetylated histone binding [GO:0070577]; nucleosome array spacer activity [GO:0140750]; single-stranded 3'-5' DNA helicase activity [GO:1990518]
P32598	P32598	calmodulin-dependent protein phosphatase activity [GO:0033192]; histone H2AXS140 phosphatase activity [GO:0140791]; MAP kinase serine/threonine phosphatase activity [GO:1990439]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]; RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]; RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]; RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]; RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]; RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]
P32599	P32599	actin filament binding [GO:0051015]; metal ion binding [GO:0046872]; protein-macromolecule adaptor activity [GO:0030674]
P32600	P32600	1-phosphatidylinositol 4-kinase activity [GO:0004430]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]
P32601	P32601	guanyl-nucleotide exchange factor activity [GO:0005085]; zinc ion binding [GO:0008270]
P32602	P32602	ATPase activator activity [GO:0001671]; soluble NSF attachment protein activity [GO:0005483]; syntaxin binding [GO:0019905]
P32603	P32603	glucan exo-1,3-beta-glucosidase activity [GO:0004338]
P32604	P32604	6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]; fructose-2,6-bisphosphate 2-phosphatase activity [GO:0004331]
P32605	P32605	U1 snRNA binding [GO:0030619]
P32606	P32606	
P32607	P32607	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]
P32608	P32608	phosphoprotein binding [GO:0051219]
P32609	P32609	phosphatidylinositol-3-phosphate binding [GO:0032266]; zinc ion binding [GO:0008270]
P32610	P32610	proton-transporting ATPase activity, rotational mechanism [GO:0046961]
P32611	P32611	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; transferase activity [GO:0016740]
P32612	P32612	structural constituent of cell wall [GO:0005199]
P32613	P32613	
P32614	P32614	FMN binding [GO:0010181]; fumarate reductase (NADH) activity [GO:0016156]
P32616	P32616	ATP binding [GO:0005524]
P32617	P32617	
P32618	P32618	
P32621	P32621	GDP phosphatase activity [GO:0004382]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; UDP phosphatase activity [GO:0045134]
P32622	P32622	ATP binding [GO:0005524]; NAD+ kinase activity [GO:0003951]; NADH kinase activity [GO:0042736]
P32623	P32623	glycosyltransferase activity [GO:0016757]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]
P32626	P32626	2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity [GO:0043715]; 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity [GO:0043716]; acireductone synthase activity [GO:0043874]; magnesium ion binding [GO:0000287]
P32628	P32628	damaged DNA binding [GO:0003684]; K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]; polyubiquitin modification-dependent protein binding [GO:0031593]; proteasome binding [GO:0070628]; protein-macromolecule adaptor activity [GO:0030674]; ubiquitin binding [GO:0043130]
P32629	P32629	alpha-1,6-mannosyltransferase activity [GO:0000009]
P32630	P32630	
P32633	P32633	
P32634	P32634	peroxidase activity [GO:0004601]
P32639	P32639	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]
P32641	P32641	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA clamp loader activity [GO:0003689]
P32642	P32642	2 iron, 2 sulfur cluster binding [GO:0051537]; disulfide oxidoreductase activity [GO:0015036]; glutathione transferase activity [GO:0004364]; metal ion binding [GO:0046872]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]
P32643	P32643	trans-aconitate 3-methyltransferase activity [GO:0046547]
P32644	P32644	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
P32645	P32645	mitogen-activated protein kinase binding [GO:0051019]; protein kinase inhibitor activity [GO:0004860]
P32656	P32656	gamma-glutamylcyclotransferase activity [GO:0003839]; glutathione specific gamma-glutamylcyclotransferase activity [GO:0061928]
P32657	P32657	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent chromatin remodeler activity [GO:0140658]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone binding [GO:0042393]; methylated histone binding [GO:0035064]; rDNA binding [GO:0000182]; transcription cis-regulatory region binding [GO:0000976]
P32660	P32660	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; glycosylceramide flippase activity [GO:0140351]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; phosphatidylcholine flippase activity [GO:0140345]; phosphatidylcholine floppase activity [GO:0090554]; phosphatidylethanolamine flippase activity [GO:0090555]; phosphatidylserine flippase activity [GO:0140346]; phosphatidylserine floppase activity [GO:0090556]
P32767	P32767	nuclear export signal receptor activity [GO:0005049]; nuclear import signal receptor activity [GO:0061608]
P32768	P32768	D-mannose binding [GO:0005537]
P32769	P32769	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
P32770	P32770	mRNA binding [GO:0003729]; zinc ion binding [GO:0008270]
P32771	P32771	alcohol dehydrogenase (NAD+) activity [GO:0004022]; hydroxymethylfurfural reductase (NADH) activity [GO:0033833]; S-(hydroxymethyl)glutathione dehydrogenase (NAD+) activity [GO:0106322]; S-(hydroxymethyl)glutathione dehydrogenase (NADP+) activity [GO:0106321]; S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity [GO:0051903]; S-nitrosoglutathione reductase (NADH) activity [GO:0080007]; zinc ion binding [GO:0008270]
P32772	P32772	
P32773	P32773	RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; TBP-class protein binding [GO:0017025]; transcription coregulator activity [GO:0003712]
P32774	P32774	RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TBP-class protein binding [GO:0017025]
P32775	P32775	1,4-alpha-glucan branching enzyme activity [GO:0003844]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]
P32776	P32776	phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-5-phosphate binding [GO:0010314]
P32781	P32781	cell adhesion molecule binding [GO:0050839]
P32783	P32783	mRNA 5'-cap (guanine-N7-)-methyltransferase activity [GO:0004482]; RNA binding [GO:0003723]
P32784	P32784	glycerol-3-phosphate O-acyltransferase activity [GO:0004366]; glycerone-phosphate O-acyltransferase activity [GO:0016287]
P32785	P32785	methionyl-tRNA formyltransferase activity [GO:0004479]
P32786	P32786	RNA polymerase I general transcription initiation factor binding [GO:0001179]; RNA polymerase I transcription regulatory region sequence-specific DNA binding [GO:0001163]
P32787	P32787	DNA binding [GO:0003677]; single-stranded DNA binding [GO:0003697]
P32788	P32788	
P32789	P32789	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]
P32790	P32790	actin binding [GO:0003779]; cargo adaptor activity [GO:0140312]; identical protein binding [GO:0042802]; ubiquitin binding [GO:0043130]
P32791	P32791	ferric-chelate reductase (NADPH) activity [GO:0052851]; ferric-chelate reductase activity [GO:0000293]; metal ion binding [GO:0046872]
P32792	P32792	
P32793	P32793	actin filament binding [GO:0051015]; phosphatidylinositol binding [GO:0035091]
P32794	P32794	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
P32795	P32795	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
P32796	P32796	carnitine O-acetyltransferase activity [GO:0004092]
P32797	P32797	G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; single-stranded telomeric DNA binding [GO:0043047]; telomerase inhibitor activity [GO:0010521]; translation elongation factor binding [GO:0061770]
P32798	P32798	cobalt ion transmembrane transporter activity [GO:0015087]; zinc ion transmembrane transporter activity [GO:0005385]
P32799	P32799	enzyme regulator activity [GO:0030234]; oxidoreductase activity [GO:0016491]
P32800	P32800	protein transmembrane transporter activity [GO:0008320]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
P32801	P32801	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]
P32802	P32802	
P32803	P32803	
P32804	P32804	high-affinity zinc transmembrane transporter activity [GO:0000006]
P32805	P32805	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
P32806	P32806	GTPase activator activity [GO:0005096]
P32807	P32807	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; damaged DNA binding [GO:0003684]; double-stranded DNA helicase activity [GO:0036121]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction helicase activity [GO:0009378]; single-stranded 3'-5' DNA helicase activity [GO:1990518]; telomerase RNA binding [GO:0070034]; telomeric DNA binding [GO:0042162]
P32828	P32828	SUMO binding [GO:0032183]; transferase activity [GO:0016740]
P32829	P32829	3'-5' exonuclease activity [GO:0008408]; 3'-5'-DNA exonuclease activity [GO:0008296]; DNA endonuclease activity [GO:0004520]; double-stranded telomeric DNA binding [GO:0003691]; endonuclease activity [GO:0004519]; G-quadruplex DNA binding [GO:0051880]; manganese ion binding [GO:0030145]; molecular adaptor activity [GO:0060090]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]; single-stranded telomeric DNA binding [GO:0043047]; telomeric DNA binding [GO:0042162]
P32830	P32830	metal ion binding [GO:0046872]; phospholipid binding [GO:0005543]
P32831	P32831	mRNA binding [GO:0003729]
P32832	P32832	chromatin DNA binding [GO:0031490]
P32833	P32833	chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]
P32835	P32835	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
P32836	P32836	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
P32837	P32837	gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; gamma-aminobutyric acid:proton symporter activity [GO:0015495]; putrescine transmembrane transporter activity [GO:0015489]
P32838	P32838	calmodulin-dependent protein phosphatase activity [GO:0033192]; histone H2AXS140 phosphatase activity [GO:0140791]; MAP kinase serine/threonine phosphatase activity [GO:1990439]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]; RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]; RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]; RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]; RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]; RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]
P32839	P32839	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; protein transmembrane transporter activity [GO:0008320]
P32841	P32841	
P32842	P32842	proton-transporting ATPase activity, rotational mechanism [GO:0046961]
P32843	P32843	RNA binding [GO:0003723]
P32844	P32844	SNARE binding [GO:0000149]
P32849	P32849	ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; four-way junction DNA binding [GO:0000400]; four-way junction helicase activity [GO:0009378]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; Y-form DNA binding [GO:0000403]; zinc ion binding [GO:0008270]
P32854	P32854	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]
P32855	P32855	
P32857	P32857	
P32858	P32858	
P32860	P32860	4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]
P32861	P32861	metal ion binding [GO:0046872]; uridylyltransferase activity [GO:0070569]; UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983]
P32862	P32862	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
P32863	P32863	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA translocase activity [GO:0015616]; double-stranded DNA helicase activity [GO:0036121]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction helicase activity [GO:0009378]; metal ion binding [GO:0046872]; single-stranded 3'-5' DNA helicase activity [GO:1990518]
P32864	P32864	GDP-dissociation inhibitor activity [GO:0005092]; GTPase activator activity [GO:0005096]; small GTPase binding [GO:0031267]
P32867	P32867	phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]
P32873	P32873	GTPase activator activity [GO:0005096]; phosphatidylinositol-3-phosphate binding [GO:0032266]
P32874	P32874	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]
P32875	P32875	4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; metal ion binding [GO:0046872]
P32891	P32891	D-lactate dehydrogenase (cytochrome) activity [GO:0004458]; D-lactate dehydrogenase activity [GO:0008720]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]
P32892	P32892	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
P32893	P32893	
P32895	P32895	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]
P32896	P32896	DNA binding [GO:0003677]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
P32897	P32897	mitochondrion targeting sequence binding [GO:0030943]; protein transmembrane transporter activity [GO:0008320]
P32898	P32898	ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]
P32899	P32899	rRNA binding [GO:0019843]; snoRNA binding [GO:0030515]
P32900	P32900	
P32901	P32901	dipeptide transmembrane transporter activity [GO:0071916]; peptide transmembrane transporter activity [GO:1904680]; tripeptide transmembrane transporter activity [GO:0042937]
P32902	P32902	structural constituent of ribosome [GO:0003735]
P32903	P32903	enzyme regulator activity [GO:0030234]
P32904	P32904	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
P32905	P32905	structural constituent of ribosome [GO:0003735]
P32906	P32906	calcium ion binding [GO:0005509]; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity [GO:0004571]
P32907	P32907	acetate transmembrane transporter activity [GO:0015123]; ammonium channel activity [GO:0008519]
P32908	P32908	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA secondary structure binding [GO:0000217]; double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]
P32909	P32909	
P32910	P32910	
P32911	P32911	ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]
P32912	P32912	phosphatidylinositol-3-phosphate binding [GO:0032266]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]
P32913	P32913	phosphatidylinositol-3-phosphate binding [GO:0032266]
P32914	P32914	protein-containing complex binding [GO:0044877]; rDNA binding [GO:0000182]; RNA polymerase II complex binding [GO:0000993]; zinc ion binding [GO:0008270]
P32915	P32915	peptide transmembrane transporter activity [GO:1904680]; protein transmembrane transporter activity [GO:0008320]; protein-transporting ATPase activity [GO:0015450]; ribosome binding [GO:0043022]; signal sequence binding [GO:0005048]
P32916	P32916	ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal recognition particle binding [GO:0005047]
P32917	P32917	G-protein beta-subunit binding [GO:0031681]; kinase binding [GO:0019900]; MAP-kinase scaffold activity [GO:0005078]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]
P32939	P32939	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein-containing complex binding [GO:0044877]
P32943	P32943	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]
P32944	P32944	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein tyrosine kinase activity [GO:0004713]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]
P32945	P32945	calmodulin-dependent protein phosphatase activity [GO:0033192]; histone H2AXS140 phosphatase activity [GO:0140791]; MAP kinase serine/threonine phosphatase activity [GO:1990439]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; phosphoprotein phosphatase activity [GO:0004721]; protein serine/threonine phosphatase activity [GO:0004722]; RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]; RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]; RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]; RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]; RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]
P33122	P33122	DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
P33199	P33199	
P33200	P33200	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
P33201	P33201	large ribosomal subunit rRNA binding [GO:0070180]
P33202	P33202	proteasome regulatory particle binding [GO:1904855]; ubiquitin protein ligase activity [GO:0061630]
P33203	P33203	RNA binding [GO:0003723]
P33204	P33204	actin filament binding [GO:0051015]; molecular adaptor activity [GO:0060090]
P33296	P33296	ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-protein transferase activity [GO:0004842]
P33297	P33297	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proteasome-activating activity [GO:0036402]
