YSN	 UniProtID	 Name	 Gene Names
YGR258C	P07276	DNA repair protein RAD2 (EC 3.1.-.-)	RAD2, YGR258C
YOR206W	P39744	Nucleolar complex protein 2	NOC2, YOR206W, YOX001
YER099C	P38620	Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 2)	PRS2, PRPS2, PRS, YER099C
YBL031W	P38200	Mitotic spindle-associated protein SHE1 (Sensitive to high expression protein 1)	SHE1, YBL031W, YBL0420
YNR028W	P53728	Peptidyl-prolyl cis-trans isomerase CYP8 (PPIase CYP8) (EC 5.2.1.8) (Rotamase CYP8)	CPR8, YNR028W, N3255
YOR354C	Q08818	Meiotic sister-chromatid recombination protein 6, mitochondrial	MSC6, YOR354C
YHR018C	P04076	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	ARG4, YHR018C
YNR071C	P53757	Uncharacterized isomerase YNR071C (EC 5.-.-.-)	YNR071C, N3605
YML097C	P54787	Vacuolar protein sorting-associated protein 9 (Vacuolar protein-targeting protein 9)	VPS9, VPT9, YML097C
YPR041W	P38431	Eukaryotic translation initiation factor 5 (eIF-5)	TIF5, YPR041W, YP3085.05
YBR261C	P38340	Alpha N-terminal protein methyltransferase 1 (EC 2.1.1.244) (Translation associated element 1) (X-Pro-Lys N-terminal protein methyltransferase 1) (NTM1)	TAE1, NTM1, YBR261C, YBR1729
YBR220C	P38318	Uncharacterized membrane protein YBR220C	YBR220C, YBR1510
YOR159C	Q12330	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SME1, YOR159C
YER028C	P39943	Transcription corepressor MIG3 (Multicopy inhibitor of growth protein 3)	MIG3, YER028C
YMR238W	Q05031	Mannan endo-1,6-alpha-mannosidase DFG5 (EC 3.2.1.101) (Endo-alpha-1->6-D-mannanase DFG5)	DFG5, YMR238W, YM9959.20
YMR070W	P54785	Transcriptional activator/repressor MOT3 (Hypoxic gene repressor protein 7) (Modulator of transcription protein 3)	MOT3, ROX7, YMR070W, YM9916.09
YHR204W	P38888	ER degradation-enhancing alpha-mannosidase-like protein 1 (EC 3.2.1.24)	MNL1, HTM1, YHR204W
YDR191W	P53688	NAD-dependent histone deacetylase HST4 (EC 2.3.1.286) (Homologous to SIR2 protein 4) (Regulatory protein SIR2 homolog 4)	HST4, YDR191W, YD9346.03
YHR092C	P32467	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1)	HXT4, LGT1, RAG1, YHR092C
YOR145C	Q99216	Pre-rRNA-processing protein PNO1 (Partner of NOB1) (Ribosomal RNA-processing protein 20)	PNO1, DIM2, RRP20, YOR145C, O3513, YOR3513C
YOL114C	Q12322	Putative uncharacterized protein YOL114C	YOL114C, HRE202
YDL131W	Q12122	Homocitrate synthase, mitochondrial (HCS) (EC 2.3.3.14)	LYS21, YDL131W, D2195
YGR185C	P36421	Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	TYS1, MGM104, YGR185C, G7522
YDR214W	Q12449	Hsp90 co-chaperone AHA1 (Activator of Hsp90 ATPase protein 1)	AHA1, YDR214W, YD8142.16, YD8142B.06
YLR203C	P32335	Protein MSS51, mitochondrial (Mitochondrial splicing suppressor protein 51)	MSS51, YLR203C, L8167.17
YHR008C	P00447	Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)	SOD2, YHR008C
YLR055C	P38915	Transcription factor SPT8	SPT8, YLR055C, L2144
YMR021C	P35192	Metal-binding activator 1	MAC1, CUA1, YMR021C, YM9711.11C
YOR320C	Q12096	Glucose N-acetyltransferase 1 (EC 2.4.1.-) (N-acetylglucosaminyltransferase)	GNT1, YOR320C, O6145
YPR065W	P25042	Repressor ROX1 (Heme-dependent repression factor) (Hypoxic function repressor)	ROX1, YPR065W, YP9499.20
YLR363W-A	Q3E747	Uncharacterized protein YLR363W-A	YLR363W-A
YDR075W	P32345	Serine/threonine-protein phosphatase 4 catalytic subunit (PP4C) (EC 3.1.3.16) (Phosphatase PP2A-like catalytic subunit PPH3)	PPH3, YDR075W, D4421
YOR209C	P39683	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	NPT1, YOR209C
YCR024C	P25345	Asparagine--tRNA ligase, mitochondrial (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	SLM5, YCR024C, YCR242, YCR24C
YHR194W	P38880	Mitochondrial distribution and morphology protein 31	MDM31, YHR194W
YGR194C	P42826	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)	XKS1, YGR194C, G7584
YOL119C	Q08268	Probable transporter MCH4	MCH4, YOL119C
YOR272W	Q12024	Ribosome biogenesis protein YTM1 (Microtubule-associated protein YTM1)	YTM1, YOR272W
YAL026C	P39524	Phospholipid-transporting ATPase DRS2 (EC 7.6.2.1)	DRS2, SWA3, YAL026C, FUN38
YNL037C	P28834	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)	IDH1, YNL037C, N2690
YIL010W	P40553	Peroxiredoxin DOT5 (Prx) (EC 1.11.1.24) (Disrupter of telomere silencing protein 5) (Nuclear thiol peroxidase) (nTPx) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin DOT5)	DOT5, YIL010W
YIR017C	P40573	Transcriptional activator of sulfur metabolism MET28 (Methionine-requiring protein 28)	MET28, YIR017C
YLR178C	P14306	Carboxypeptidase Y inhibitor (CPY inhibitor) (CDC25 suppressor 1) (I(C)) (Ic) (Protein DKA1) (Protein NSP1)	TFS1, DKA1, NSP1, YLR178C, L9470.19
YKR028W	P36123	SIT4-associating protein SAP190	SAP190, YKR028W
YDR168W	P06101	Hsp90 co-chaperone Cdc37 (Cell division control protein 37) (Hsp90 chaperone protein kinase-targeting subunit)	CDC37, SMO1, YDR168W, YD9489.03
YBR129C	P38271	Protein OPY1 (Overproduction-induced pheromone-resistant yeast protein 1)	OPY1, YBR129C, YBR1004
YFR040W	P43612	SIT4-associating protein SAP155	SAP155, YFR040W
YDR013W	Q12488	DNA replication complex GINS protein PSF1 (Partner of Sld five 1)	PSF1, YDR013W, PZA208, YD8119.18
YCR039C	P0CY08	Mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor)	MATALPHA2, ALPHA-2, MAT2A, MATAL2, YCR039C, YCR39C
YJL098W	P40856	SIT4-associating protein SAP185	SAP185, YJL098W, J0840
YER064C	P40041	Transcription factor VHR2 (VHT1 regulator 2)	VHR2, YER064C
YGR078C	P48363	Prefoldin subunit 3 (Genes involved in microtubule biogenesis protein 2) (Gim complex subunit 2) (GimC subunit 2)	PAC10, GIM2, PFD3, YGR078C
YPR013C	Q12145	Zinc finger protein CRM3 (Changed mutation rate protein 3)	CMR3, YPR013C, LPZ12c
YPL060W	Q02783	Mitochondrial inner membrane magnesium transporter MFM1 (MRS2 function modulating factor 1)	MFM1, LPE10, YPL060W
YNL076W	P34072	Negative regulator of RAS-cAMP pathway	MKS1, LYS80, YNL076W, N2344, N2347
YHR049W	P38777	Family of serine hydrolases 1 (EC 3.1.-.-)	FSH1, YHR049W
YFR019W	P34756	1-phosphatidylinositol 3-phosphate 5-kinase FAB1 (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (Formation of aploid and binucleate cells protein 1) (Styryl dye vacuolar localization protein 7) (Type III PIP kinase) (PIPkin-III)	FAB1, SVL7, YFR019W
YLR173W	Q06247	Putative uncharacterized protein YLR173W	YLR173W
YPL255W	Q12365	Spindle pole component BBP1 (BFR1-binding protein 1)	BBP1, YPL255W, P0745
YPR020W	Q12233	ATP synthase subunit g, mitochondrial (ATPase subunit g)	ATP20, YPR020W, YP9531.14
YER174C	P32642	Monothiol glutaredoxin-4	GRX4, YER174C, SYGP-ORF64
YGL159W	P53110	Uncharacterized protein YGL159W	YGL159W, G1840
YPR155C	Q12374	Nuclear control of ATPase protein 2	NCA2, YPR155C
YDR346C	Q05515	Ceramide-binding protein SVF1	SVF1, SGI1, YDR346C
YDR412W	Q04031	Ribosomal RNA-processing protein 17	RRP17, YDR412W
YJR017C	P22696	Peptidyl-prolyl cis-trans isomerase ESS1 (PPIase ESS1) (EC 5.2.1.8) (Parvulin ESS1) (Processing/termination factor 1)	ESS1, PIN1, PTF1, YJR017C, J1452
YBR280C	P38352	SCF-associated factor 1	SAF1, YBR280C, YBR2017
YDL120W	Q07540	Frataxin homolog, mitochondrial (EC 1.16.3.1) [Cleaved into: Frataxin homolog intermediate form]	YFH1, YDL120W
YHR178W	P38699	Protein STB5	STB5, YHR178W
YIL098C	P40491	ATP synthase assembly factor FMC1, mitochondrial (Formation of mitochondrial complexes protein 1)	FMC1, YIL098C
YLR443W	Q06200	Protein ECM7 (Extracellular mutant protein 7) (Zinc-regulated gene 15 protein)	ECM7, ZRG15, YLR443W
YER104W	P40063	Regulator of Ty1 transposition protein 105	RTT105, YER104W
YDR127W	P08566	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	ARO1, AROM, YDR127W, YD9302.02
YGR026W	P53217	Uncharacterized membrane protein YGR026W	YGR026W
YGR057C	P53237	Protein LST7 (Lethal with SEC thirteen protein 7)	LST7, YGR057C
YOR290C	P22082	Transcription regulatory protein SNF2 (EC 3.6.4.-) (ATP-dependent helicase SNF2) (Regulatory protein GAM1) (Regulatory protein SWI2) (SWI/SNF complex component SNF2) (Transcription factor TYE3)	SNF2, GAM1, RIC1, SWI2, TYE3, YOR290C
YDR142C	P39108	Peroxisomal targeting signal 2 receptor (PTS2 receptor) (Peroxin-7)	PEX7, PAS7, PEB1, YDR142C, YD2943.01C, YD9302.18C
YDL075W	P0C2H8	Large ribosomal subunit protein eL31A (60S ribosomal protein L31-A) (L34) (YL28)	RPL31A, RPL34, RPL34A, YDL075W, D2478
YOL027C	Q08179	Mitochondrial distribution and morphology protein 38	MDM38, YOL027C
YBR022W	P38218	ADP-ribose 1''-phosphate phosphatase (EC 3.1.3.84) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase)	POA1, YBR022W, YBR0304
YPR152C	Q06525	Pre-mRNA-splicing factor URN1 (U2-U5-U6 snRNP, RES complex and NTC-interacting pre-mRNA-splicing factor 1)	URN1, YPR152C
YMR067C	P54730	UBX domain-containing protein 4	UBX4, YMR067C, YM9916.06C
YJL127C	P35208	Protein SPT10	SPT10, CRE1, SUD1, YJL127C, J0702
YGR262C	P53323	EKC/KEOPS complex subunit BUD32 (EC 3.6.-.-) (Atypical serine/threonine protein kinase BUD32) (EC 2.7.11.1) (Bud site selection protein 32) (Low-dye-binding protein 14) (piD261)	BUD32, LDB14, YGR262C
YOR332W	P22203	V-type proton ATPase subunit E (V-ATPase subunit E) (V-ATPase 27 kDa subunit) (Vacuolar proton pump subunit E)	VMA4, VAT5, YOR332W, O6241
YGL044C	P25299	mRNA 3'-end-processing protein RNA15	RNA15, YGL044C
YLR373C	Q05934	Vacuolar import and degradation protein 22	VID22, YLR373C
YEL037C	P32628	UV excision repair protein RAD23	RAD23, YEL037C, SYGP-ORF29
YGR199W	P42934	Dolichyl-phosphate-mannose--protein mannosyltransferase 6 (EC 2.4.1.109)	PMT6, YGR199W, G7722
YGL017W	P16639	Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)	ATE1, YGL017W
YDL074C	Q07457	E3 ubiquitin-protein ligase BRE1 (EC 2.3.2.27) (Brefeldin A-sensitivity protein 1) (RING-type E3 ubiquitin transferase BRE1)	BRE1, YDL074C
YPL063W	Q02776	Mitochondrial import inner membrane translocase subunit TIM50	TIM50, YPL063W
YJL138C	P10081	ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Stimulator factor I 37 kDa component) (Translation initiation factor 1/2) (p37)	TIF1, TIF41A, YKR059W;, TIF2, TIF41B, YJL138C, J0660
YPL219W	Q08966	PHO85 cyclin-8	PCL8, YPL219W, P1745
YCR042C	P23255	Transcription initiation factor TFIID subunit 2 (TAFII-150) (TBP-associated factor 150 kDa) (TBP-associated factor 2) (TSM-1)	TAF2, TAF150, TSM1, YCR042C, YCR42C, YCR724
YOL061W	Q12265	Ribose-phosphate pyrophosphokinase 5 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 5)	PRS5, PRPS5, YOL061W, O1213
YML062C	P33441	THO complex subunit MFT1 (Mitochondrial fusion target protein 1)	MFT1, YML062C
YLR435W	Q06672	Pre-rRNA-processing protein TSR2 (20S rRNA accumulation protein 2)	TSR2, YLR435W
YKL068W	Q02629	Nucleoporin NUP100/NSP100 (Nuclear pore protein NUP100/NSP100)	NUP100, NSP100, YKL068W, YKL336
YLR192C	Q05775	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 30 kDa subunit) (eIF-3 30 kDa) (High-copy suppressor of Rpg1 protein 1)	HCR1, YLR192C, L8167.11
YLR099C	Q12385	1-acylglycerol-3-phosphate O-acyltransferase ICT1 (EC 2.3.1.51) (Increased copper tolerance protein 1) (Lysophosphatidic acid acyltransferase ICT1) (LPAAT)	ICT1, YLR099C
YGR006W	P33411	Pre-mRNA-splicing factor 18	PRP18, YGR006W
YJL063C	P22353	Large ribosomal subunit protein bL17m (54S ribosomal protein L8, mitochondrial) (YmL8)	MRPL8, YJL063C, HRD238, J1125
YNL030W	P02309	Histone H4	HHF1, YBR009C, YBR0122;, HHF2, YNL030W, N2752
YNL325C	P42837	Polyphosphoinositide phosphatase (EC 3.1.3.-) (Factor-induced gene 4 protein) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase)	FIG4, YNL325C, N0330
YKL041W	P36095	Vacuolar protein-sorting-associated protein 24 (DOA4-independent degradation protein 3) (ESCRT-III complex subunit VPS24)	VPS24, DID3, YKL041W, YKL254
YMR229C	Q05022	rRNA biogenesis protein RRP5 (Ribosomal RNA-processing protein 5) (U3 small nucleolar RNA-associated protein RRP5) (U3 snoRNA-associated protein RRP5)	RRP5, FMI1, YMR229C, YM9959.11C
YLR257W	Q06146	Uncharacterized protein YLR257W	YLR257W
YPL145C	P35844	Oxysterol-binding protein homolog 4 (Bypass SECl4 recessive protein 3) (KRE11-1 suppressor protein 1) (Protein KES1) (Oxysterol-binding protein-related protein 4) (ORP 4) (OSBP-related protein 4)	KES1, BSR3, OSH4, YPL145C, LPI3C, P2614
YAL017W	P31374	Serine/threonine-protein kinase PSK1 (EC 2.7.11.1) (PAS kinase 1)	PSK1, YAL017W, FUN31, YAL002
YKL212W	P32368	Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Recessive suppressor of secretory defect)	SAC1, RSD1, YKL212W
YML075C	P12683	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (HMG-CoA reductase 1) (EC 1.1.1.34)	HMG1, YML075C
YOR305W	Q08774	Required for respiratory growth protein 7, mitochondrial	RRG7, YOR305W
YHR166C	P16522	Anaphase-promoting complex subunit CDC23 (Cell division control protein 23)	CDC23, YHR166C
YLR256W	P0CE41	Heme-responsive zinc finger transcription factor HAP1 (CYP1 activatory protein) (Heme activator protein 1)	HAP1, CYP1, YLR256W, L9672.1
YPR172W	Q06608	Pyridoxamine 5'-phosphate oxidase homolog (PNP/PMP oxidase homolog) (PNPOx homolog)	YPR172W
YML057W	P14747	Serine/threonine-protein phosphatase 2B catalytic subunit A2 (EC 3.1.3.16) (Calcineurin A2) (Calmodulin-binding protein 2)	CMP2, CNA2, YML057W, YM9958.05
YBR131W	P38273	Vacuolar fusion protein CCZ1 (Ccz1p) (Autophagy-related protein 11) (Calcium-caffeine-zinc sensitivity protein 1) (Cytoplasm to vacuole targeting protein 16)	CCZ1, AUT11, CVT16, YBR131W, YBR1006
YOL059W	P41911	Glycerol-3-phosphate dehydrogenase [NAD(+)] 2, mitochondrial (EC 1.1.1.8)	GPD2, GPD3, YOL059W, O1222
YNL081C	P53937	Small ribosomal subunit protein uS13m (37S ribosomal protein SWS2, mitochondrial) (Sick without securin protein 2)	SWS2, YNL081C, N2322
YBL074C	P32357	A1 cistron-splicing factor AAR2	AAR2, YBL074C, YBL06.06, YBL0611
YHL040C	P38731	Siderophore iron transporter ARN1 (Ferrichrome permease)	ARN1, YHL040C
YOL128C	Q12222	Glycogen synthase kinase-3 homolog YGK3 (EC 2.7.11.1)	YGK3, YOL128C
YLR219W	Q05812	Meiotic sister-chromatid recombination protein 3	MSC3, YLR219W
YJL103C	P42950	Glucose starvation modulator protein 1	GSM1, YJL103C, J0824
YEL003W	P40005	Prefoldin subunit 2 (Genes involved in microtubule biogenesis protein 4) (Gim complex subunit 4) (GimC subunit 4)	GIM4, PFD2, YEL003W
YJL038C	P47055	Outer spore wall protein 4 (Loss of heterozygosity protein 1)	LOH1, OSW4, YJL038C, J1232
YDL190C	P54860	E4 ubiquitin-protein ligase UFD2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase UFD2) (Ubiquitin conjugation factor E4) (Ubiquitin fusion degradation protein 2) (UB fusion protein 2)	UFD2, YDL190C, D1255
YIL057C	P40188	Respiratory growth induced protein 2	RGI2, YIL057C
YMR064W	P32493	ATPase expression protein 1, mitochondrial (Nuclear control of ATPase messenger RNA expression protein 1)	AEP1, NCA1, YMR064W, YM9916.03
YBL099W	P07251	ATP synthase subunit alpha, mitochondrial	ATP1, YBL099W, YBL0827
YPR048W	Q12181	NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase)	TAH18, YPR048W, YP9499.06
YOL026C	Q08176	Mitochondrial import protein 1 (Mitochondrial 13 kDa outer membrane protein)	MIM1, TOM13, YOL026C
YMR019W	P50104	Probable transcriptional regulatory protein STB4	STB4, YMR019W, YM9711.08
YGL113W	P53135	DNA replication regulator SLD3	SLD3, YGL113W, G2980
YDL108W	P06242	Serine/threonine-protein kinase KIN28 (EC 2.7.11.23)	KIN28, YDL108W, D2330
YML072C	Q03640	Tricalbin-3	TCB3, YML072C
YJL016W	P47072	Uncharacterized protein YJL016W	YJL016W, J1320, J1326, YJL017W
YMR034C	Q05131	Solute carrier RCH1 (Regulator of calcium homeostasis 1)	RCH1, YMR034C, YM9973.08C
YNL045W	Q10740	Leucine aminopeptidase 2 (EC 3.4.11.-) (Epoxide hydrolase) (EC 3.3.2.10) (Leucyl aminopeptidase yscIV) (AP IV) (Leukotriene A-4 hydrolase homolog) (LTA-4 hydrolase)	LAP2, YNL045W, N2535
YJL161W	P46998	Mitochondrial membrane protein FMP33	FMP33, YJL161W, J0552
YMR081C	P32488	Increasing suppression factor 1 (Mitochondrial biogenesis regulation protein 3)	ISF1, MBR3, YMR081C, YM9582.06C
YJL159W	P32478	Cell wall mannoprotein HSP150 (150 kDa heat shock glycoprotein) (Covalently-linked cell wall protein 7) (Protein with internal repeats 2)	HSP150, CCW7, ORE1, PIR2, YJL159W, J0558
YGR224W	P50080	Azole resistance protein 1	AZR1, YGR224W, G8537
YMR271C	P30402	Orotate phosphoribosyltransferase 2 (OPRT 2) (OPRTase 2) (EC 2.4.2.10)	URA10, YMR271C, YM8156.13C
YMR250W	Q04792	Glutamate decarboxylase (GAD) (EC 4.1.1.15)	GAD1, YMR250W, YM9920.04
YPL034W	Q03083	Uncharacterized protein YPL034W	YPL034W
YIL072W	P20050	Meiosis-specific protein HOP1	HOP1, YIL072W
YMR086W	Q04279	Eisosome protein SEG1 (Stability of eisosomes guaranteed protein 1)	SEG1, YMR086W, YM9582.10
YPL180W	Q08921	Target of rapamycin complex 1 subunit TCO89 (TORC1 subunit TCO89) (89 kDa TOR complex 1 protein)	TCO89, YPL180W
YOL154W	Q12512	Protein ZPS1	ZPS1, YOL154W, AOB249
YNL158W	P53896	GPI mannosyltransferase 2 subunit PGA1 (Processing of GAS1 and ALP protein 1)	PGA1, YNL158W, N1739
YIL138C	P40414	Tropomyosin-2	TPM2, YIL138C
YML031W	P32500	Nucleoporin NDC1 (Nuclear division cycle protein 1) (Nuclear pore protein NDC1)	NDC1, YML031W
YLR104W	Q08045	Long chronological lifespan protein 2	LCL2, YLR104W
YGR136W	P53281	LAS seventeen-binding protein 1 (LAS17-binding protein 1)	LSB1, YGR136W
YHL026C	P38740	Uncharacterized protein YHL026C	YHL026C
YGL141W	P53119	E3 ubiquitin-protein ligase HUL5 (EC 2.3.2.26)	HUL5, YGL141W
YKL028W	P36100	Transcription initiation factor IIE subunit alpha (TFIIE-alpha) (Factor A 66 kDa subunit) (Transcription factor A large subunit)	TFA1, YKL028W
YDL149W	Q12142	Autophagy-related protein 9 (Cytoplasm to vacuole targeting protein 7)	ATG9, APG9, AUT9, CVT7, YDL149W, D1560
YHR164C	P38859	DNA replication ATP-dependent helicase/nuclease DNA2 [Includes: DNA replication nuclease DNA2 (EC 3.1.-.-); DNA replication ATP-dependent helicase DNA2 (EC 3.6.4.12)]	DNA2, YHR164C
YER162C	P14736	DNA repair protein RAD4	RAD4, YER162C
YGR120C	P53271	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (Protein SEC35)	COG2, SEC35, YGR120C, G6324
YNR068C	P53754	Uncharacterized protein YNR068C	YNR068C, N3551
YOR067C	P40351	Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)	ALG8, YOR067C, YOR29-18
YCR075W-A	Q3E830	Protein EGO2	EGO2, YCR075W-A
YKL194C	P07236	Threonine--tRNA ligase, mitochondrial (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	MST1, YKL194C
YJL089W	P46954	Protein SIP4	SIP4, YJL089W, J0922
YGR040W	P14681	Mitogen-activated protein kinase KSS1 (MAP kinase KSS1) (EC 2.7.11.24) (Kinase suppressor of SST2)	KSS1, YGR040W
YNL312W	P26754	Replication factor A protein 2 (RF-A protein 2) (DNA-binding protein BUF1) (Replication protein A 36 kDa subunit)	RFA2, BUF1, YNL312W, N0368
YBR267W	P38344	Cytoplasmic 60S subunit biogenesis factor REI1 (Required for isotropic bud growth protein 1) (pre-60S factor REI1)	REI1, YBR267W, YBR1736
YMR154C	Q03792	Calpain-like protease 1 (EC 3.4.22.-) (Calpain-7) (Cysteine protease RIM13) (Regulator of IME2 protein 13)	RIM13, CPL1, YMR154C, YM8520.03C
YHR058C	P38782	Mediator of RNA polymerase II transcription subunit 6 (Mediator complex subunit 6)	MED6, MTR32, YHR058C
YPL223C	Q08969	Protein GRE1 (Genes de respuesta a estres protein 1) (Hydrophilin)	GRE1, YPL223C
YGL185C	P53100	Putative 2-hydroxyacid dehydrogenase YGL185C (EC 1.-.-.-)	YGL185C, G1380
YGR044C	P32338	Zinc finger protein RME1	RME1, YGR044C
YKR037C	P36131	DASH complex subunit SPC34 (34 kDa spindle pole component protein) (Outer kinetochore protein SPC34)	SPC34, YKR037C
YLR377C	P09201	Fructose-1,6-bisphosphatase (FBPase) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase)	FBP1, YLR377C, L8039.18
YJR143C	P46971	Dolichyl-phosphate-mannose--protein mannosyltransferase 4 (EC 2.4.1.109)	PMT4, YJR143C, J2176
YKR024C	P36120	ATP-dependent RNA helicase DBP7 (EC 3.6.4.13) (DEAD box protein 7)	DBP7, YKR024C
YLR425W	Q06412	Rho1 guanine nucleotide exchange factor TUS1 (TOR unique function suppressor protein 1)	TUS1, SOP10, YLR425W
YOR133W	P32324	Elongation factor 2 (EF-2) (EC 3.6.5.-) (Eukaryotic elongation factor 2) (eEF2) (Ribosomal translocase) (Translation elongation factor 2)	EFT1, YOR133W, O3317, YOR3317W;, EFT2, YDR385W
YBR139W	P38109	Vacuolar serine-type carboxypeptidase ATG42 (EC 3.4.16.5) (Carboxypeptidase C) (CPC)	ATG42, YBR139W, YBR1015
YBL056W	P34221	Protein phosphatase 2C homolog 3 (PP2C-3) (EC 3.1.3.16)	PTC3, YBL056W, YBL0511, YBL0513
YCR024C-A	P32903	Plasma membrane ATPase proteolipid 1	PMP1, YCR024C-A, YCR24C-A
YBR062C	P38239	Uncharacterized RING finger protein YBR062C	YBR062C, YBR0528
YNL132W	P53914	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (Killer toxin-resistance protein 33) (Ribosomal RNA cytidine acetyltransferase 1)	KRE33, NAT10, RRA1, YNL132W, N1216, N1858
YBR060C	P32833	Origin recognition complex subunit 2 (Origin recognition complex 71 kDa subunit)	ORC2, RRR1, SIR5, YBR060C, YBR0523
YIL169C	P40442	Secreted protein CSS1 (Condition specific secretion protein 1) (Haze protective factor 1')	CSS1, HPF1', YIL169C, YI9402.07C
YHL012W	P38709	Probable UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase)	YHL012W
YHR207C	P38890	Histone-lysine N-methyltransferase SET5 (EC 2.1.1.-) (SET domain-containing protein 5)	SET5, YHR207C
YBR115C	P07702	L-2-aminoadipate reductase (EC 1.2.1.31) (EC 1.2.1.95) (Alpha-aminoadipate reductase) (Alpha-AR) (L-aminoadipate-semialdehyde dehydrogenase)	LYS2, YBR115C, YBR0910
YMR187C	Q03236	Uncharacterized protein YMR187C	YMR187C, YM8010.17C
YEL063C	P04817	Arginine permease CAN1 (Canavanine resistance protein 1)	CAN1, YEL063C
YBR245C	P38144	ISWI chromatin-remodeling complex ATPase ISW1 (EC 3.6.4.-)	ISW1, YBR245C, YBR1633
YLR005W	Q04673	General transcription and DNA repair factor IIH subunit SSL1 (TFIIH subunit SSL1) (RNA polymerase II transcription factor B subunit SSL1) (TFB subunit SSL1) (Suppressor of stem-loop protein 1)	SSL1, YLR005W
YOR201C	P25270	rRNA methyltransferase 1, mitochondrial (EC 2.1.1.-) (21S rRNA (guanosine(2270)-2'-O)-methyltransferase) (21S rRNA [Gm2270] 2'-O-methyltransferase) (Mitochondrial large ribosomal RNA ribose methylase) (Petite colonies protein 56)	MRM1, PET56, YOR201C
YNL256W	P53848	Folic acid synthesis protein FOL1 [Includes: Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase) (FASA) (FASB); 6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (HPPK) (EC 2.7.6.3) (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (PPPK) (FASC); Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase) (FASD)]	FOL1, YNL256W, N0848
YOR004W	Q12339	rRNA-processing protein UTP23 (U three protein 23) (U3 small nucleolar RNA-associated protein 23) (U3 snoRNA-associated protein 23)	UTP23, YOR004W
YBR180W	P38125	Dityrosine transporter 1	DTR1, YBR180W, YBR1242
