Q96R72	gene_name:OR4K3
Q8TAG6	gene_name:VXN
P46939	gene_name:UTRN
Q7Z5L0	gene_name:VMO1
O00507	gene_name:USP9Y
Q96LB4	gene_name:ATP6V1G3
Q9Y2B5	gene_name:VPS9D1
Q7Z5H5	gene_name:VN1R4
O75083	gene_name:WDR1
Q9BV38	gene_name:WDR18
Q9P2S5	gene_name:WRAP73
O96014	gene_name:WNT11
P56704	gene_name:WNT3A
Q9NZC7	gene_name:WWOX
O95625	gene_name:ZBTB11
Q9NQX6	gene_name:ZNF331
Q5FWF4	gene_name:ZRANB3
P0CG23	gene_name:ZNF853
Q8N446	gene_name:ZNF843
P0CH99	gene_name:ZNF705D
P17029	gene_name:ZKSCAN1
Q9NR11	gene_name:ZNF302
Q9HCZ1	gene_name:ZNF334
Q9Y493	gene_name:ZAN
Q8NC26	gene_name:ZNF114
Q68EA5	gene_name:ZNF57
Q6NSZ9	gene_name:ZSCAN25
Q9H7R0	gene_name:ZNF442
Q86VM9	gene_name:ZC3H18
Q96SZ4	gene_name:ZSCAN10
Q9Y5A6	gene_name:ZSCAN21
O15090	gene_name:ZNF536
P51815	gene_name:ZNF75D
Q8NEP9	gene_name:ZNF555
Q96SQ5	gene_name:ZNF587
O43345	gene_name:ZNF208
Q96K75	gene_name:ZNF514
Q8WW24	gene_name:TEKT4
Q92734	gene_name:TFG
Q9C0I4	gene_name:THSD7B
Q96MV1	gene_name:TLCD4
Q9H0C3	gene_name:TMEM117
Q96LM6	gene_name:TEX37
Q86T26	gene_name:TMPRSS11B
P04216	gene_name:THY1
Q9BVK8	gene_name:TMEM147
A0A075B6Y3	gene_name:TRAJ3
Q92759	gene_name:GTF2H4
A0A0A0MTA4	gene_name:TRBJ2-5
Q8N1Q8	gene_name:THEM5
Q5VZI3	gene_name:TMEM268
Q96HH4	gene_name:TMEM169
Q9GZN2	gene_name:TGIF2
Q15561	gene_name:TEAD4
Q9NP99	gene_name:TREM1
Q8WZ59	gene_name:TMEM190
P17752	gene_name:TPH1
Q9H3S3	gene_name:TMPRSS5
P40225	gene_name:THPO
P01374	gene_name:LTA
Q13470	gene_name:TNK1
Q9Y4K3	gene_name:TRAF6
P40222	gene_name:TXLNA
Q8IYR6	gene_name:TMEFF1
Q15628	gene_name:TRADD
Q9P2K2	gene_name:TXNDC16
Q5TCY1	gene_name:TTBK1
P0DPF4	gene_name:TRAV35
A0A0B4J268	gene_name:TRAV4
O75436	gene_name:VPS26A
Q8IWF7	gene_name:UBE2DNL
Q9UI12	gene_name:ATP6V1H
Q5GH70	gene_name:XKR9
Q9NYS7	gene_name:WSB2
A8MWX3	gene_name:WASH4P
Q9H6Y2	gene_name:WDR55
P78423	gene_name:CX3CL1
Q9GZV5	gene_name:WWTR1
Q9UHU1	gene_name:PRO1716
Q86TA4	gene_name:YB049_HUMAN
P49750	gene_name:YLPM1
Q9H4I2	gene_name:ZHX3
Q6ZSA8	gene_name:YS025_HUMAN
Q86XD8	gene_name:ZFAND4
Q8NB50	gene_name:ZFP62
Q05516	gene_name:ZBTB16
Q9HBT8	gene_name:ZNF286A
Q06732	gene_name:ZNF33B
Q6ZNA1	gene_name:ZNF836
Q6PDB4	gene_name:ZNF880
Q9BSG1	gene_name:ZNF2
Q8NF64	gene_name:ZMIZ2
Q3MJ62	gene_name:ZSCAN23
Q49A33	gene_name:ZNF876P
Q52M93	gene_name:ZNF585B
Q96H79	gene_name:ZC3HAV1L
P17097	gene_name:ZNF7
Q6X784	gene_name:ZPBP2
Q6ZN08	gene_name:ZNF66
Q9BUY5	gene_name:ZNF426
O15535	gene_name:ZSCAN9
Q6XR72	gene_name:SLC30A10
Q6ECI4	gene_name:ZNF470
B1APH4	gene_name:ZNF487
Q9H091	gene_name:ZMYND15
Q6IQ21	gene_name:ZNF770
Q8WTR7	gene_name:ZNF473
Q5MCW4	gene_name:ZNF569
Q96LX8	gene_name:ZNF597
Q92618	gene_name:ZNF516
Q8NH93	gene_name:OR1L3
Q8N148	gene_name:OR6V1
Q53LP3	gene_name:SOWAHC
Q8N434	gene_name:SVOPL
A0A0B4J235	gene_name:TRAV13-2
Q15526	gene_name:SURF1
Q9UH36	gene_name:SRRD
Q06520	gene_name:SULT2A1
P11831	gene_name:SRF
Q14162	gene_name:SCARF1
Q5VSL9	gene_name:STRIP1
Q9UJW9	gene_name:SERTAD3
Q13885	gene_name:TUBB2A
Q9H6P5	gene_name:TASP1
Q13509	gene_name:TUBB3
Q9Y3F1	gene_name:TA6P_HUMAN
Q99832	gene_name:CCT7
Q4KMP7	gene_name:TBC1D10B
P59535	gene_name:TAS2R40
A6NCK2	gene_name:TRIM43B
Q6UXY8	gene_name:TMC5
Q5JXX7	gene_name:TMEM31
Q9NVH6	gene_name:TMLHE
Q15629	gene_name:TRAM1
O14669	gene_name:PRRG2
Q96BF3	gene_name:TMIGD2
P19971	gene_name:TYMP
Q6P3X3	gene_name:TTC27
A0A075B6T8	gene_name:TRAV9-1
P07101	gene_name:TH
Q96A04	gene_name:TSACC
Q8IYN6	gene_name:UBALD2
Q04323	gene_name:UBXN1
Q9NV66	gene_name:TYW1
O95399	gene_name:UTS2
O95498	gene_name:VNN2
Q2YD98	gene_name:UVSSA
P15692	gene_name:VEGFA
Q16572	gene_name:SLC18A3
P98170	gene_name:XIAP
Q08AM6	gene_name:VAC14
Q96AX1	gene_name:VPS33A
P0C879	gene_name:YJ018_HUMAN
Q8N814	gene_name:YG045_HUMAN
Q96EF9	gene_name:ZHX1-C8orf76
Q9UKY1	gene_name:ZHX1
Q6ZRN7	gene_name:YP029_HUMAN
P61129	gene_name:ZC3H6
Q6PJT7	gene_name:ZC3H14
P0C7X5	gene_name:ZNF806
A6NEH8	gene_name:ZNF503-AS2
Q96MX3	gene_name:ZNF48
P10073	gene_name:ZSCAN22
P51523	gene_name:ZNF84
P13682	gene_name:ZNF35
Q03923	gene_name:ZNF85
Q8IYN0	gene_name:ZNF100
Q7Z3I7	gene_name:ZNF572
Q9ULJ6	gene_name:ZMIZ1
P98182	gene_name:ZNF200
Q8TCW7	gene_name:ZPLD1
Q8TAU3	gene_name:ZNF417
Q9NYT6	gene_name:ZNF226
P51508	gene_name:ZNF81
Q9UJ78	gene_name:ZMYM5
Q8IYX1	gene_name:TBC1D21
Q8NBD8	gene_name:TMEM229B
Q15543	gene_name:TAF13
Q9BVW5	gene_name:TIPIN
Q6ZNK6	gene_name:TIFAB
Q96A98	gene_name:PTH2
A0A0C4DH28	gene_name:TRGV4
O94842	gene_name:TOX4
Q8TDI7	gene_name:TMC2
P06753	gene_name:TPM3
Q96Q05	gene_name:TRAPPC9
Q9BW30	gene_name:TPPP3
Q8WVT3	gene_name:TRAPPC12
Q8NFQ8	gene_name:TOR1AIP2
Q9NP84	gene_name:TNFRSF12A
Q5SRN2	gene_name:TSBP1
Q8NA56	gene_name:TTC29
Q9NQA5	gene_name:TRPV5
Q96PF2	gene_name:TSSK2
O00526	gene_name:UPK2
P51784	gene_name:USP11
P55089	gene_name:UCN
Q9P2U7	gene_name:SLC17A7
P18206	gene_name:VCL
P11473	gene_name:VDR
O43379	gene_name:WDR62
Q8IZH2	gene_name:XRN1
Q5JSH3	gene_name:WDR44
Q71RG6	gene_name:FP248
Q6ZSV7	gene_name:YF010_HUMAN
A6XGL0	gene_name:YJEFN3
Q6UXP9	gene_name:UNQ9370/PRO34162
Q6ZR03	gene_name:YU004_HUMAN
Q6ZTK2	gene_name:YP015_HUMAN
Q9BYJ9	gene_name:YTHDF1
Q49AA0	gene_name:ZFP69
Q68DK2	gene_name:ZFYVE26
Q8NCN2	gene_name:ZBTB34
Q6U7Q0	gene_name:ZNF322
Q96JL9	gene_name:ZNF333
Q9BRR0	gene_name:ZKSCAN3
Q8WUU4	gene_name:ZNF296
Q9NQZ8	gene_name:ZNF71
Q9UDW3	gene_name:ZMAT5
Q86W11	gene_name:ZSCAN30
P17039	gene_name:ZNF30
Q9HA38	gene_name:ZMAT3
Q8NCK3	gene_name:ZNF485
Q86UK7	gene_name:ZNF598
P17098	gene_name:ZNF8
Q96CK0	gene_name:ZNF653
Q96CS4	gene_name:ZNF689
Q9BX82	gene_name:ZNF471
Q8N720	gene_name:ZNF655
Q8NGW1	gene_name:OR6B3
Q5T2D3	gene_name:OTUD3
O76099	gene_name:OR7C1
Q9Y5P0	gene_name:OR51B4
Q8NGA8	gene_name:OR4F17
Q8NGJ6	gene_name:OR51A4
Q8IYS5	gene_name:OSCAR
Q96QZ0	gene_name:PANX3
Q9NR21	gene_name:PARP11
Q08493	gene_name:PDE4C
Q8N5Y8	gene_name:PARP16
P01298	gene_name:PPY
Q8TAB3	gene_name:PCDH19
Q9Y5E8	gene_name:PCDHB15
O96013	gene_name:PAK4
Q9Y5E9	gene_name:PCDHB14
Q8TEQ8	gene_name:PIGO
Q86YI8	gene_name:PHF13
Q96AQ6	gene_name:PBXIP1
O75925	gene_name:PIAS1
P09086	gene_name:POU2F2
Q8N8N7	gene_name:PTGR2
Q9Y2R2	gene_name:PTPN22
Q6MZT1	gene_name:RGS7BP
A6NEQ0	gene_name:RBMY1E
P53805	gene_name:RCAN1
Q8TAI7	gene_name:RHEBL1
Q96I51	gene_name:RCC1L
Q6VN20	gene_name:RANBP10
Q96D15	gene_name:RCN3
Q6ZP01	gene_name:RBM44
Q8IUH3	gene_name:RBM45
P49756	gene_name:RBM25
Q6ZUM4	gene_name:ARHGAP27
Q9Y4F9	gene_name:RIPOR2
P25791	gene_name:LMO2
Q8N5W9	gene_name:RFLNB
P22670	gene_name:RFX1
A5PLK6	gene_name:RGSL1
Q8IZJ4	gene_name:RGL4
P62750	gene_name:RPL23A
Q5T653	gene_name:MRPL2
Q7Z2W9	gene_name:MRPL21
Q8WVD5	gene_name:RNF141
P05388	gene_name:RPLP0
Q9BT43	gene_name:POLR3GL
Q9Y252	gene_name:RNF6
Q9UNE2	gene_name:RPH3AL
P53803	gene_name:POLR2K
Q495C1	gene_name:RNF212
Q7Z418	gene_name:KCNK18
Q96EK5	gene_name:KIFBP
Q6L8G9	gene_name:KRTAP5-6
Q9Y691	gene_name:KCNMB2
Q5T7N3	gene_name:KANK4
Q9UQV4	gene_name:LAMP3
O75665	gene_name:OFD1
P47887	gene_name:OR1E2
O95190	gene_name:OAZ2
Q8IXE1	gene_name:OR4N5
A6NF01	gene_name:POM121B
Q9Y5H0	gene_name:PCDHGA3
Q9HC56	gene_name:PCDH9
Q9NPF4	gene_name:OSGEP
Q3MJ16	gene_name:PLA2G4E
Q9NWS0	gene_name:PIH1D1
Q53GG5	gene_name:PDLIM3
Q6NUR6	gene_name:RNF216P1
A0A1B0GWK0	gene_name:PVALEF
P10826	gene_name:RARB
Q5TGL8	gene_name:PXDC1
Q9UKL0	gene_name:RCOR1
Q6NSI4	gene_name:RADX
P55895	gene_name:RAG2
P24386	gene_name:CHM
P78509	gene_name:RELN
Q9ULC3	gene_name:RAB23
Q9Y4C8	gene_name:RBM19
Q15286	gene_name:RAB35
Q8TBY0	gene_name:RBM46
Q96PK6	gene_name:RBM14
Q5T5U3	gene_name:ARHGAP21
Q86YS3	gene_name:RAB11FIP4
Q08116	gene_name:RGS1
P62745	gene_name:RHOB
Q02161	gene_name:RHD
Q7LG56	gene_name:RRM2B
Q9H4X1	gene_name:RGCC
Q684P5	gene_name:RAP1GAP2
Q9NRR4	gene_name:DROSHA
Q05823	gene_name:RNASEL
Q15050	gene_name:RRS1
Q6XPR3	gene_name:RPTN
Q9H9B4	gene_name:SFXN1
P62341	gene_name:SELENOT
Q14242	gene_name:SELPLG
Q7Z333	gene_name:SETX
P20132	gene_name:SDS
Q14563	gene_name:SEMA3A
A0A286YF77	gene_name:SCYGR6
Q96B97	gene_name:SH3KBP1
Q13435	gene_name:SF3B2
Q6UXD5	gene_name:SEZ6L2
O95470	gene_name:SGPL1
O75920	gene_name:SERF1A
Q8WTV1	gene_name:THAP3
P48061	gene_name:CXCL12
Q9UH03	gene_name:SEPTIN3
Q9H190	gene_name:SDCBP2
Q96EE3	gene_name:SEH1L
Q9NS62	gene_name:THSD1
B3SHH9	gene_name:TMEM114
O60830	gene_name:TIMM17B
Q9BTF0	gene_name:THUMPD2
Q9BV44	gene_name:THUMPD3
Q92599	gene_name:SEPTIN8
Q9BY12	gene_name:SCAPER
Q12770	gene_name:SCAP
O75845	gene_name:SC5D
P60059	gene_name:SEC61G
Q92791	gene_name:P3H4
Q9BXW3	gene_name:SNHG12
P0DPA3	gene_name:SNHG28
Q99611	gene_name:SEPHS2
Q9NPE6	gene_name:SPAG4
Q96L92	gene_name:SNX27
Q8TCT6	gene_name:SPPL3
Q92543	gene_name:SNX19
P53814	gene_name:SMTN
Q9HAJ7	gene_name:SAP30L
Q8IW52	gene_name:SLITRK4
Q6X4U4	gene_name:SOSTDC1
Q99619	gene_name:SPSB2
Q9P1W8	gene_name:SIRPG
Q9NRC8	gene_name:SIRT7
A4D263	gene_name:SPATA48
Q8IUQ4	gene_name:SIAH1
Q8NDV1	gene_name:ST6GALNAC3
Q8N1F7	gene_name:NUP93
O14841	gene_name:OPLAH
P0C645	gene_name:OR4E1
Q8NG84	gene_name:OR2AK2
Q9UBU9	gene_name:NXF1
Q8NGZ9	gene_name:OR2T10
Q8NGH5	gene_name:OR56A1
Q9H209	gene_name:OR10A4
Q8NGC3	gene_name:OR10G2
Q8NH63	gene_name:OR51H1
Q8NH07	gene_name:OR11H2
Q8NGF6	gene_name:OR10W1
P51575	gene_name:P2RX1
Q9H607	gene_name:OCEL1
P0DN82	gene_name:OR12D1
Q8NGS5	gene_name:OR13C4
Q8N573	gene_name:OXR1
A6NNC1	gene_name:P12LL_HUMAN
P49768	gene_name:PSEN1
Q96HP4	gene_name:OXNAD1
Q86SE9	gene_name:PCGF5
Q9Y5G9	gene_name:PCDHGA4
Q9GZY1	gene_name:PBOV1
A0A0B4J2F0	gene_name:PIGBOS1
Q92824	gene_name:PCSK5
O75928	gene_name:PIAS2
Q92576	gene_name:PHF3
Q7Z5L7	gene_name:PODN
Q9UBV8	gene_name:PEF1
O15172	gene_name:PSPHP1
P60484	gene_name:PTEN
Q8WXF1	gene_name:PSPC1
Q15678	gene_name:PTPN14
Q9UNX3	gene_name:RPL26L1
Q01973	gene_name:ROR1
O95398	gene_name:RAPGEF3
Q9H4P4	gene_name:RNF41
Q8WZA2	gene_name:RAPGEF4
Q92730	gene_name:RND1
Q63HN8	gene_name:RNF213
Q13296	gene_name:SCGB2A2
Q99720	gene_name:SIGMAR1
A0A286YFB4	gene_name:SCYGR2
Q5HYK7	gene_name:SH3D19
P21912	gene_name:SDHB
Q96EQ0	gene_name:SGTB
Q96GA7	gene_name:SDSL
Q96NL6	gene_name:SCLT1
Q9UJC5	gene_name:SH3BGRL2
Q6UW10	gene_name:SFTA2
Q92529	gene_name:SHC3
Q6FHJ7	gene_name:SFRP4
Q13530	gene_name:SERINC3
Q9NQW1	gene_name:SEC31B
O75324	gene_name:SNN
P55000	gene_name:SLURP1
Q8IYB5	gene_name:SMAP1
P0DP57	gene_name:SLURP2
O15079	gene_name:SNPH
Q9BVQ7	gene_name:SPATA5L1
Q9UQE7	gene_name:SMC3
Q9BXN6	gene_name:SPANXD
Q9HCB6	gene_name:SPON1
Q8N5G0	gene_name:SMIM20
Q9H2V7	gene_name:SPNS1
Q86T20	gene_name:SMIM29
A0A1B0GVY4	gene_name:SMIM31
P18583	gene_name:SON
P12757	gene_name:SKIL
Q86UG4	gene_name:SLCO6A1
P0CI01	gene_name:SPDYE6
Q9HAU4	gene_name:SMURF2
P41225	gene_name:SOX3
Q11203	gene_name:ST3GAL3
P0C7P3	gene_name:SLFN14
O15173	gene_name:PGRMC2
Q32P51	gene_name:HNRNPA1L2
Q8TE99	gene_name:PXYLP1
O96011	gene_name:PEX11B
Q92626	gene_name:PXDN
Q9Y2K5	gene_name:R3HDM2
Q8N0T1	gene_name:RBIS
Q15283	gene_name:RASA2
A6NJZ7	gene_name:RIMBP3C
Q9H6L5	gene_name:RETREG1
Q8IXN7	gene_name:RIMKLA
O15034	gene_name:RIMBP2
Q02543	gene_name:RPL18A
P40429	gene_name:RPL13A
P18124	gene_name:RPL7
Q9NX20	gene_name:MRPL16
Q7Z7F7	gene_name:MRPL55
Q8N5N7	gene_name:MRPL50
Q9NVU0	gene_name:POLR3E
P56715	gene_name:RP1
Q9ULK6	gene_name:RNF150
Q9NSQ0	gene_name:RRP7BP
Q92766	gene_name:RREB1
P61247	gene_name:RPS3A
Q9H0K4	gene_name:RSPH6A
A1A5C7	gene_name:SLC22A23
P82663	gene_name:MRPS25
Q9UGH3	gene_name:SLC23A2
Q96RN1	gene_name:SLC26A8
Q8WWV3	gene_name:RTN4IP1
Q7LBE3	gene_name:SLC26A9
P06702	gene_name:S100A9
Q9UBT2	gene_name:UBA2
P80511	gene_name:S100A12
Q9HCY8	gene_name:S100A14
Q9BXP2	gene_name:SLC12A9
Q86VW1	gene_name:SLC22A16
Q8NF91	gene_name:SYNE1
Q9UHW9	gene_name:SLC12A6
Q2Y0W8	gene_name:SLC4A8
Q9UDX3	gene_name:SEC14L4
B5MCN3	gene_name:SEC14L6
Q9BYT1	gene_name:SLC17A9
P82979	gene_name:SARNP
P21453	gene_name:S1PR1
P0DJI8	gene_name:SAA1
Q6UVJ0	gene_name:SASS6
Q9Y2R9	gene_name:MRPS7
Q86VV8	gene_name:RTTN
Q9NQC3	gene_name:RTN4
P09661	gene_name:SNRPA1
Q66K80	gene_name:RUSC1-AS1
Q5K651	gene_name:SAMD9
O60783	gene_name:MRPS14
Q8TEE9	gene_name:SAP25
P82912	gene_name:MRPS11
Q13214	gene_name:SEMA3B
Q9NR46	gene_name:SH3GLB2
Q9UBV2	gene_name:SEL1L
Q9BT88	gene_name:SYT11
Q96HL8	gene_name:SH3YL1
Q8N5H7	gene_name:SH2D3C
Q8WV19	gene_name:SFT2D1
Q12981	gene_name:BNIP1
Q15464	gene_name:SHB
O60939	gene_name:SCN2B
P0C7M3	gene_name:SFTA3
Q8N6R1	gene_name:SERP2
Q99590	gene_name:SCAF11
Q96LD8	gene_name:SENP8
Q12765	gene_name:SCRN1
Q9Y345	gene_name:SLC6A5
Q8IYM1	gene_name:SEPTIN12
Q15796	gene_name:SMAD2
Q16613	gene_name:AANAT
A6NHR9	gene_name:SMCHD1
O75602	gene_name:SPAG6
Q92922	gene_name:SMARCC1
Q8TCT7	gene_name:SPPL2B
A6NCI5	gene_name:LINC00862
Q6PJ21	gene_name:SPSB3
P56693	gene_name:SOX10
Q13526	gene_name:PIN1
Q13371	gene_name:PDCL
P29590	gene_name:PML
Q14761	gene_name:PTPRCAP
P23468	gene_name:PTPRD
Q9H0J4	gene_name:QRICH2
Q9BRQ0	gene_name:PYGO2
Q8TDU9	gene_name:RXFP4
P62910	gene_name:RPL32
P0DPB6	gene_name:POLR1D
Q9GZM3	gene_name:POLR2J2
P52198	gene_name:RND2
Q9NVW2	gene_name:RLIM
Q5TA31	gene_name:RNF187
Q9BY78	gene_name:RNF26
Q96P16	gene_name:RPRD1A
Q9NQ39	gene_name:RPS10P5
Q9Y2B1	gene_name:RXYLT1
Q7Z769	gene_name:SLC35E3
Q9H2B4	gene_name:SLC26A1
Q8WUT9	gene_name:SLC25A43
Q96E40	gene_name:SPACA9
Q6P1M0	gene_name:SLC27A4
Q9Y2W3	gene_name:SLC45A1
Q8TF17	gene_name:SH3TC2
Q8NBI5	gene_name:SLC43A3
Q9UHP6	gene_name:RSPH14
Q8WWT9	gene_name:SLC13A3
Q9NRA2	gene_name:SLC17A5
Q96DX4	gene_name:RSPRY1
Q9UL12	gene_name:SARDH
Q8WUM9	gene_name:SLC20A1
Q96BU1	gene_name:S100PBP
Q6ZNE9	gene_name:RUFY4
O94885	gene_name:SASH1
P08621	gene_name:SNRNP70
Q7M4L6	gene_name:SHF
Q12874	gene_name:SF3A3
Q99442	gene_name:SEC62
Q99963	gene_name:SH3GL3
Q9UN30	gene_name:SCML1
Q9UQR0	gene_name:SCML2
Q9BYB0	gene_name:SHANK3
Q86VW0	gene_name:SESTD1
Q15019	gene_name:SEPTIN2
O00560	gene_name:SDCBP
Q96F10	gene_name:SAT2
Q9BSV6	gene_name:TSEN34
Q8N9R8	gene_name:SCAI
Q9NY91	gene_name:SLC5A4
P47872	gene_name:SCTR
P21583	gene_name:KITLG
Q6GMV2	gene_name:SMYD5
Q9NXX6	gene_name:NSMCE4A
Q8NGZ5	gene_name:OR2G2
Q8TE49	gene_name:OTUD7A
Q8NDX1	gene_name:PSD4
Q9Y5G6	gene_name:PCDHGA7
A0A2R8YFL7	gene_name:OOSP4A
Q8NH16	gene_name:OR2L2
Q6QHF9	gene_name:PAOX
Q5QFB9	gene_name:PAPPA-AS1
O43252	gene_name:PAPSS1
Q8NGA6	gene_name:OR10H5
Q9BZA7	gene_name:PCDH11X
Q7L5N7	gene_name:LPCAT2
P16499	gene_name:PDE6A
P0CB38	gene_name:PABPC4L
Q15365	gene_name:PCBP1
P27815	gene_name:PDE4A
Q86U42	gene_name:PABPN1
Q9BPV8	gene_name:P2RY13
Q13177	gene_name:PAK2
Q9P0J1	gene_name:PDP1
Q32P28	gene_name:P3H1
P30039	gene_name:PBLD
Q92508	gene_name:PIEZO1
Q53EL6	gene_name:PDCD4
Q9H0N5	gene_name:PCBD2
Q8WXI9	gene_name:GATAD2B
Q8N490	gene_name:PNKD
Q6P1K2	gene_name:PMF1
A0A1W2PS18	gene_name:PMIS2
P10266	gene_name:ERVK-10
Q9ULR3	gene_name:PPM1H
Q9Y446	gene_name:PKP3
A0JP26	gene_name:POTEB3
Q99471	gene_name:PFDN5
P35813	gene_name:PPM1A
P42338	gene_name:PIK3CB
A0PG75	gene_name:PLSCR5
Q9UHV8	gene_name:LGALS13
Q63HM9	gene_name:PLCXD3
P25787	gene_name:PSMA2
Q7Z3G6	gene_name:PRICKLE2
P04554	gene_name:PRM2
Q00887	gene_name:PSG9
P26599	gene_name:PTBP1
Q9NXS2	gene_name:QPCTL
B4DYI2	gene_name:SPATA31C2
Q9H446	gene_name:RWDD1
Q9UIY3	gene_name:RWDD2A
P0C7Q6	gene_name:SLC35G6
Q8N413	gene_name:SLC25A45
Q8N357	gene_name:SLC35F6
Q96ER3	gene_name:SAAL1
P21817	gene_name:RYR1
Q9ULF5	gene_name:SLC39A10
Q96JW4	gene_name:SLC41A2
Q15424	gene_name:SAFB
P47897	gene_name:QARS1
Q9UJJ7	gene_name:RPUSD1
Q96DX8	gene_name:RTP4
Q6P4A7	gene_name:SFXN4
Q08648	gene_name:SPAG11B
Q9BQE4	gene_name:SELENOS
Q8IYI0	gene_name:SHLD1
O95969	gene_name:SCGB1D2
Q15428	gene_name:SF3A2
P31040	gene_name:SDHA
Q99962	gene_name:SH3GL2
Q9Y3B4	gene_name:SF3B6
Q8TEJ3	gene_name:SH3RF3
P29353	gene_name:SHC1
Q9NY46	gene_name:SCN3A
Q9NY72	gene_name:SCN3B
Q9NQF3	gene_name:SERHL
A8MV23	gene_name:SERPINE3
Q6ICB4	gene_name:PHETA2
Q9H2E6	gene_name:SEMA6A
Q02383	gene_name:SEMG2
Q7Z6J9	gene_name:TSEN54
Q9GZR1	gene_name:SENP6
P0C264	gene_name:SBK3
Q6ZU15	gene_name:SEPTIN14
P67812	gene_name:SEC11A
O76013	gene_name:KRT36
P48050	gene_name:KCNJ4
Q9HB14	gene_name:KCNK13
Q9NZI2	gene_name:KCNIP1
Q04759	gene_name:PRKCQ
P27361	gene_name:MAPK3
Q7Z6M3	gene_name:MILR1
P14780	gene_name:MMP9
Q8NGT0	gene_name:OR13C9
A6NES4	gene_name:MROH2A
O95255	gene_name:ABCC6
O95665	gene_name:NTSR2
Q9Y4C0	gene_name:NRXN3
Q9Y328	gene_name:NSG2
Q96P68	gene_name:OXGR1
Q8WXA2	gene_name:PATE1
P10082	gene_name:PYY
Q9HBH0	gene_name:RHOF
Q9H426	gene_name:RIMS4
Q5EBL4	gene_name:RILPL1
Q9NWS8	gene_name:RMND1
Q9Y4L5	gene_name:RNF115
Q8N7X1	gene_name:RBMXL3
P62917	gene_name:RPL8
Q9Y225	gene_name:RNF24
Q15637	gene_name:SF1
A0A286YFG1	gene_name:SCYGR8
P0DSO2	gene_name:SCYGR9
Q15459	gene_name:SF3A1
O95754	gene_name:SEMA4F
Q8TEC5	gene_name:SH3RF2
P04278	gene_name:SHBG
Q6P3W7	gene_name:SCYL2
Q8IWT1	gene_name:SCN4B
Q5T4F7	gene_name:SFRP5
Q8N474	gene_name:SFRP1
Q8WYJ6	gene_name:SEPTIN1
Q9H3T2	gene_name:SEMA6C
Q99719	gene_name:SEPTIN5
Q14141	gene_name:SEPTIN6
Q15437	gene_name:SEC23B
P0C263	gene_name:SBK2
Q9BQF6	gene_name:SENP7
O95487	gene_name:SEC24B
P57772	gene_name:EEFSEC
Q8TAC9	gene_name:SCAMP5
Q658L1	gene_name:SAXO2
Q9Y5Y9	gene_name:SCN10A
Q8N695	gene_name:SLC5A8
P48067	gene_name:SLC6A9
Q01959	gene_name:SLC6A3
Q6R2W3	gene_name:ZBED9
P63208	gene_name:SKP1
Q8IW75	gene_name:SERPINA12
Q13309	gene_name:SKP2
Q969G3	gene_name:SMARCE1
Q9Y5B9	gene_name:SUPT16H
Q9H4F8	gene_name:SMOC1
Q9H210	gene_name:OR2D2
Q9UNZ2	gene_name:NSFL1C
P51003	gene_name:PAPOLA
Q9H714	gene_name:RUBCNL
Q5JUK9	gene_name:PAGE3
O43924	gene_name:PDE6D
Q9H074	gene_name:PAIP1
O75914	gene_name:PAK3
O00623	gene_name:PEX12
C9JE40	gene_name:PATL2
Q9NST1	gene_name:PNPLA3
P0CW24	gene_name:PNMA6A
Q86XI6	gene_name:PPP1R3B
Q9BRP8	gene_name:PYM1
O76021	gene_name:RSL1D1
P46777	gene_name:RPL5
O60930	gene_name:RNASEH1
A6NIZ1	gene_name:RP1BL_HUMAN
Q6ZSG1	gene_name:RNF165
Q15287	gene_name:RNPS1
Q9Y6U7	gene_name:RNF215
Q969S9	gene_name:GFM2
P15880	gene_name:RPS2
Q5VU36	gene_name:SPATA31A5
Q8IZD6	gene_name:SLC22A15
Q9BZJ4	gene_name:SLC25A39
Q92665	gene_name:MRPS31
Q9HBV2	gene_name:SPACA1
Q6P5W5	gene_name:SLC39A4
Q99808	gene_name:SLC29A1
Q15043	gene_name:SLC39A14
P31949	gene_name:S100A11
Q9UBE0	gene_name:SAE1
O43765	gene_name:SGTA
Q9C0C4	gene_name:SEMA4C
Q9HCN8	gene_name:SDF2L1
P55822	gene_name:SH3BGR
A4FU49	gene_name:SH3D21
O75368	gene_name:SH3BGRL
Q8IZQ5	gene_name:SELENOH
Q7Z6J0	gene_name:SH3RF1
P55735	gene_name:SEC13
Q12872	gene_name:SFSWAP
Q99250	gene_name:SCN2A
Q9NP50	gene_name:SINHCAF
P23246	gene_name:SFPQ
Q9H7N4	gene_name:SCAF1
Q9H1H9	gene_name:KIF13A
O00142	gene_name:TK2
Q9HA64	gene_name:FN3KRP
B2CW77	gene_name:KLLN
O60341	gene_name:KDM1A
Q3MIV0	gene_name:KRTAP22-1
O60938	gene_name:KERA
Q86WI0	gene_name:LHFPL1
P05771	gene_name:PRKCB
C9JBD0	gene_name:KRBOX1
Q96MC5	gene_name:BMERB1
Q5EB52	gene_name:MEST
P03956	gene_name:MMP1
Q2M2H8	gene_name:MGAM2
O60487	gene_name:MPZL2
Q96HJ5	gene_name:MS4A3
Q99572	gene_name:P2RX7
Q14872	gene_name:MTF1
Q15390	gene_name:MTFR1
O15146	gene_name:MUSK
P11055	gene_name:MYH3
Q3BBV2	gene_name:NBPF8
Q9BXD5	gene_name:NPL
